oracle_id,construct,measured_quantity,task_id,rule_or_criterion_id,evaluator_type,evaluator_ref,input_artifact,output_artifact,mutation_sanity_test,claim_ids,status,owner,notes
OT-AC-VIOL,CON-AC,dependency-direction violation rate per applicable frozen opportunity (E1; numerator opportunity_accounting.violated_opportunity_count; denominator/offset opportunity_accounting.applicable_opportunity_count),PT01;PT02;PT03;PT04;PT07 (e1_analysis_eligibility=scored only; PT07 cannot enter E1 until its private package carries a valid non-zero frozen opportunity set),frozen dependency-direction opportunity ids (implemented LEAF clauses AR-DEP-002..006 only - the AR-DEP-001 umbrella can expand raw exposure but never back a scored opportunity; per-task sets TD-B05/TD-B14),automated,v2 architecture oracle (experiments/v2/oracle; alias/barrel/re-export aware) over the frozen opportunity set attributed by frozen architectural scope,full repository snapshot on frozen base SHA,experiments/v2/results/<run_id>/architecture_finding.json -> oracle_result.json,TODO TD-B12 (seeded core->infra import must be flagged; synthetic fixtures pass; NEW-file/moved-file/deleted-anchor attribution cases M0-M7 in experiments/v2/oracle/tests/scopeAttribution.test.ts pass under scope-based attribution; labelled corpus and precision/recall bar still open - TD-B27),CL01;CL02;CL03;CL14,TODO,Guard Engineer,"E1 traceability row. Measures layered dependency-direction conformance ONLY - never broad or general architectural conformance (G8). This quantity is NOT per rule: applicable_rule_count is not an admissible denominator or offset and no per-rule denominator may be used. Only implemented dependency-direction opportunities enter either side; the stub rules (AR-CONTRACT-001 / AR-OBSERV-001 / AR-CODE-001 / AR-CHANGE-FOOTPRINT-001) and all manual adjudication contribute NOTHING to the numerator or denominator. raw_violation_count is a separate descriptive series. E1-ineligible candidates (PT05/PT06 functional-only; PR01/PR02 inactive-reserve) are excluded from this row. Dependency-direction reference checker implemented and unit-validated; labelled-corpus/mutation/inter-rater validation (G6) pending before use"
OT-AC-SAT,CON-AC,applicable-frozen-opportunity satisfaction proportion (E2; descriptive transformation of E1),PT01;PT02;PT03;PT04;PT07 (e1_analysis_eligibility=scored only; PT07 pending its private package),frozen dependency-direction opportunity ids (AR-DEP-001..006 family only),automated,frozen-opportunity accounting from the blind architecture_finding.json (fixed_opportunity_count over applicable_opportunity_count),full repository snapshot on frozen base SHA,experiments/v2/results/<run_id>/architecture_finding.json -> oracle_result.json,TODO TD-B12,CL04,TODO,Oracle Designer,"Descriptive transformation of E1 (D8) not an independent confirmatory endpoint. AUTOMATED ONLY: no manual adjudication enters this quantity and no non-automatable or stub rule contributes to it - those are CON-ACB secondary/manual evidence (see OT-ACB-MANUAL). The legacy rule-based satisfaction_proportion field on oracle_result.json is a descriptive diagnostic and is never E1 or E2. Raw violations and frozen fixed-opportunity accounting recorded separately; check for ceiling/saturation"
OT-ACB-MANUAL,CON-ACB,manual rubric ratings for broader architecture dimensions (contract ownership; port/interface placement; observability completeness; duplicated logic; general business-logic placement),ALL,AR-CONTRACT-001;AR-OBSERV-001;AR-CODE-001 (unimplemented oracle stubs; manual rubric),manual,blinded double rating per MANUAL_ORACLE_RUBRIC.md and MANUAL_RATING_PROTOCOL.md,patched repository at frozen base SHA,experiments/v2/analysis/ (manual rating records),TODO TD-B12 (blinded double rating; Cohen kappa >= 0.70),CL15,TODO,Oracle Designer,"NOT directly measured by E1 and NEVER pooled into the E1 numerator or denominator (G8). Secondary/manual evidence only; confirmatory use requires two blinded raters and Cohen kappa >= 0.70, below which the dimension is reported descriptively. The automated stubs report UNIMPLEMENTED and can never report PASS. Implementing AR-CONTRACT-001 or AR-CODE-001 as automated checkers is future work to BROADEN E1 (TD-B33), never a route to readmit a structurally excluded task post hoc"
OT-TC-HAT,CON-TC,hidden acceptance-test pass proportion,ALL,TODO TD-B05 (per criterion in TASK_ACCEPTANCE_MATRIX),automated,hidden acceptance-test suite (withheld from the model),patched repository at frozen base SHA,experiments/v2/results/<run_id>/acceptance_result.json,TODO TD-B12 (known-good ref passes; known-bad ref fails),CL07,TODO,Oracle Designer,direct completeness metric; not visible CI
OT-TC-ACC,CON-TC,acceptance-criteria coverage,ALL,TODO TD-B05,manual+automated,per-criterion adjudication by two raters,patched repository at frozen base SHA,experiments/v2/results/<run_id>/acceptance_result.json,TODO TD-B12,CL08,TODO,Oracle Designer,supporting/descriptive completeness measure (exploratory); confirmatory completeness endpoint is E3/CL07 (hidden acceptance-test pass); report inter-rater agreement
OT-EC-CHURN,CON-EC,code churn; test churn; files changed (out-of-scope surface),ALL,TODO TD-B05 (out-of-scope surface),automated,diff vs base restricted to the out-of-scope surface,patch.diff on frozen base SHA,experiments/v2/results/<run_id>/run_manifest.json,n/a (footprint not a validity claim),CL09,TODO,Harness Engineer,secondary change-footprint metric; not architectural drift
OT-EC-COST,CON-EC,tokens; execution time; verification iterations,ALL,n/a,automated,machine-readable run output (modelUsage; timing; CI attempts),run stream/json output,experiments/v2/results/<run_id>/run_manifest.json,n/a,CL10,TODO,Harness Engineer,secondary engineering-cost metric
OT-RR-INT,CON-RR,condition x reset interaction on a direct outcome,ALL,derived from OT-AC-VIOL and OT-TC-HAT across reset states,derived,statistical model (see STATISTICAL_ANALYSIS_PLAN),paired reset/non-reset run outcomes,experiments/v2/analysis/,n/a (derived from validated direct metrics),CL06,TODO,Statistician,requires valid checkpoints (G2) and equal budgets; the confirmatory interaction endpoint (E4) maps to CL06 only; the exploratory reset main effect (CL05) is derived from the same paired outcomes
OT-IE-OBJ,CON-IE,objective review/delivery measures (pre vs post),ALL,n/a,manual,extraction from FGC review/delivery records per INDUSTRIAL_DATA_AUDIT,anonymized FGC PR/review dataset,experiments/v2/analysis/,n/a,CL11,TODO,Industrial Data Owner,gated on raw-record availability and minimum sample (G7); no invented counts
OT-IE-SURVEY,CON-IE,practitioner perception,ALL,n/a,manual,survey instrument export,survey responses (untracked; no PII in git),experiments/v2/analysis/,n/a,CL12,TODO,Study Lead,perception evidence only; reported separately from objective measures
