sequence,run_id,task,condition,repetition,block,functional_valid,semantic_pass,semantic_fail,architecture_applicable,architecture_violated,target_opportunity_violated,raw_architecture_violations,total_input_tokens,total_output_tokens,provider_cost_usd,model_wall_seconds,turns_used,total_tool_calls,exploration_calls,unique_files_read,edit_calls,write_calls,files_reedited,ci_command_runs,test_command_runs,files_changed,lines_added,lines_removed,net_lines,paired_eligible
1,afci-lower-model-pilot-pt07-c1-real-r3-non-reset-a1-e6090108e222,PT07,C1,3,PT07|R3,true,4,0,1,0,false,0,899445,18759,0.26250989999999996,175.875,35,34,13,7,8,0,3,2,0,5,602,4,598,true
2,afci-lower-model-pilot-pt07-c4-real-r3-non-reset-a1-d0cd6a0d8139,PT07,C4,3,PT07|R3,true,4,0,1,0,false,0,452734,6842,0.1167752,60.408,20,19,6,6,6,0,2,1,0,4,184,3,181,true
3,afci-lower-model-pilot-pt07-c4-real-r2-non-reset-a1-506f24d2b808,PT07,C4,2,PT07|R2,true,4,0,1,0,false,0,872640,12925,0.20872850000000004,133.831,33,32,14,9,7,0,3,1,0,4,204,3,201,true
4,afci-lower-model-pilot-pt07-c1-real-r2-non-reset-a1-91a4a61d7ac4,PT07,C1,2,PT07|R2,true,4,0,1,0,false,0,965496,18025,0.258396,158.803,35,34,13,6,6,2,2,1,1,4,194,3,191,true
5,afci-lower-model-pilot-pt04-c4-real-r3-non-reset-a1-5963dda7b71f,PT04,C4,3,PT04|R3,true,4,0,1,0,false,0,1503672,18489,0.32816970000000006,185.541,45,44,23,9,9,0,2,1,2,4,37,44,-7,true
6,afci-lower-model-pilot-pt04-c1-real-r3-non-reset-a1-6d840ddb619b,PT04,C1,3,PT04|R3,true,4,0,1,0,false,0,674972,9380,0.1600287,117.281,28,27,8,6,7,0,2,1,0,3,47,34,13,true
7,afci-lower-model-pilot-pt04-c1-real-r2-non-reset-a1-6408c7ba4346,PT04,C1,2,PT04|R2,false,0,4,1,0,false,0,355602,5535,0.09466359999999999,72.503,20,19,9,5,2,0,0,2,0,2,36,4,32,false
8,afci-lower-model-pilot-pt04-c4-real-r2-non-reset-a1-797795bff9d4,PT04,C4,2,PT04|R2,true,4,0,1,0,false,0,1411907,18395,0.31301509999999994,178.328,45,44,15,6,14,0,4,1,0,5,106,54,52,false
9,afci-lower-model-pilot-pt01-c4-real-r1-non-reset-a1-5b244854b277,PT01,C4,1,PT01|R1,true,4,0,1,0,false,0,1416097,16187,0.29483620000000005,194.362,49,48,20,13,4,0,1,1,0,2,178,6,172,true
10,afci-lower-model-pilot-pt01-c1-real-r1-non-reset-a1-7f9c8e36f5b6,PT01,C1,1,PT01|R1,true,4,0,1,0,false,0,313328,5869,0.08067579999999999,69.947,18,17,8,6,2,0,1,1,0,1,88,3,85,true
11,afci-lower-model-pilot-pt01-c1-real-r2-non-reset-a1-6b12e654c4cf,PT01,C1,2,PT01|R2,true,4,0,1,0,false,0,493409,6449,0.1054834,67.312,25,24,9,9,5,0,2,1,0,2,172,6,166,true
12,afci-lower-model-pilot-pt01-c4-real-r2-non-reset-a1-535ea5d5fc9f,PT01,C4,2,PT01|R2,true,4,0,1,0,false,0,911161,10252,0.18167640000000002,108.316,34,33,18,9,5,0,2,1,2,2,177,6,171,true
13,afci-lower-model-pilot-pt07-c1-real-r1-non-reset-a1-c23fe9b5b301,PT07,C1,1,PT07|R1,true,4,0,1,0,false,0,630866,11619,0.15117125,121.987,27,26,6,6,8,0,2,4,0,5,481,3,478,true
14,afci-lower-model-pilot-pt07-c4-real-r1-non-reset-a1-cb62aeaa1f2e,PT07,C4,1,PT07|R1,true,4,0,1,0,false,0,1647356,23319,0.34190505000000004,179.514,44,43,14,9,12,0,5,1,0,7,753,11,742,true
15,afci-lower-model-pilot-pt01-c4-real-r3-non-reset-a1-a04790b9b324,PT01,C4,3,PT01|R3,true,4,0,1,0,false,0,1127536,14737,0.22804794999999994,134.572,36,40,18,9,6,0,2,1,0,3,365,6,359,true
16,afci-lower-model-pilot-pt01-c1-real-r3-non-reset-a1-9a214fe5d531,PT01,C1,3,PT01|R3,true,4,0,1,0,false,0,385952,5879,0.09038040000000001,56.541,21,20,13,9,2,0,1,1,0,1,105,5,100,true
17,afci-lower-model-pilot-pt04-c4-real-r1-non-reset-a1-4f661f6dacea,PT04,C4,1,PT04|R1,true,4,0,1,0,false,0,1573447,19139,0.30661995,188.332,48,47,19,6,17,0,3,1,0,4,34,107,-73,true
18,afci-lower-model-pilot-pt04-c1-real-r1-non-reset-a1-746b1a826597,PT04,C1,1,PT04|R1,true,4,0,1,0,false,0,1236282,21256,0.2775704,214.17,40,39,13,9,16,0,3,2,0,4,66,76,-10,true
