endpoint,task,condition,median_reset_over_nonreset,c4_overhead_lower_for_this_task
EXPLORATION_CALLS,PT01,C1,2.0000,true
EXPLORATION_CALLS,PT01,C4,1.3693,true
EXPLORATION_CALLS,PT04,C1,1.6071,false
EXPLORATION_CALLS,PT04,C4,1.9091,false
EXPLORATION_CALLS,PT07,C1,1.8571,true
EXPLORATION_CALLS,PT07,C4,1.2500,true
MODEL_WALL_SECONDS,PT01,C1,1.1603,true
MODEL_WALL_SECONDS,PT01,C4,1.0137,true
MODEL_WALL_SECONDS,PT04,C1,1.7304,true
MODEL_WALL_SECONDS,PT04,C4,1.4214,true
MODEL_WALL_SECONDS,PT07,C1,1.4085,true
MODEL_WALL_SECONDS,PT07,C4,1.2048,true
TOTAL_INPUT_TOKENS,PT01,C1,1.2042,true
TOTAL_INPUT_TOKENS,PT01,C4,0.8176,true
TOTAL_INPUT_TOKENS,PT04,C1,1.0986,false
TOTAL_INPUT_TOKENS,PT04,C4,1.6989,false
TOTAL_INPUT_TOKENS,PT07,C1,1.2324,true
TOTAL_INPUT_TOKENS,PT07,C4,0.9614,true
TOTAL_TOOL_CALLS,PT01,C1,1.5238,true
TOTAL_TOOL_CALLS,PT01,C4,1.1429,true
TOTAL_TOOL_CALLS,PT04,C1,1.3570,false
TOTAL_TOOL_CALLS,PT04,C4,1.8095,false
TOTAL_TOOL_CALLS,PT07,C1,1.6190,true
TOTAL_TOOL_CALLS,PT07,C4,1.2581,true
