sequence,run_id,task,condition,repetition,functional_valid,architecture_applicable,architecture_violated,target_violation,turns_used,hit_turn_ceiling,total_input_tokens,total_output_tokens,thinking_tokens,provider_cost_usd,model_wall_seconds,total_tool_calls,exploration_calls,unique_files_read,edit_calls,write_calls,files_reedited,gate_command_runs,failed_gate_cycles,permission_denials,files_changed,lines_added,lines_removed,net_lines
1,afci-bs2-t1-c1-real-r3-non-reset-a1-ac5f41ae5239,T1,C1,3,False,1,0,False,70,False,3865966,19468,2923,1.9093251,554.784,72,11,8,9,2,2,17,2,4,5,131,2,129
2,afci-bs2-t1-c4-real-r3-non-reset-a1-844b4866ff74,T1,C4,3,False,1,0,False,57,False,3146439,18782,3375,1.5657153000000001,826.462,60,9,8,10,1,4,22,3,3,5,169,2,167
3,afci-bs2-t5-c4-real-r3-non-reset-a1-de74e51327d3,T5,C4,3,False,1,1,True,77,False,3965479,27311,12028,1.9666820999999999,382.871,76,17,16,6,6,1,1,0,10,4,50,1,49
4,afci-bs2-t5-c1-real-r3-non-reset-a1-43cabca2b6c0,T5,C1,3,False,1,0,False,96,True,5311326,27471,10218,2.427801299999999,694.569,96,30,19,8,7,2,1,0,4,5,57,2,55
5,afci-bs2-t5-c1-real-r2-non-reset-a1-3e3c04d1fefd,T5,C1,2,True,1,1,True,87,False,5084546,31502,10406,2.4752115,829.232,86,16,13,10,3,3,20,3,2,6,74,1,73
6,afci-bs2-t5-c4-real-r2-non-reset-a1-ff15bd075e82,T5,C4,2,True,1,0,False,89,False,4654389,21368,5246,2.1158642999999997,843.708,88,14,12,11,1,3,16,4,5,8,102,2,100
7,afci-bs2-t2-c1-real-r2-non-reset-a1-1ac04bb33d22,T2,C1,2,True,1,0,False,62,False,3341621,23325,5926,1.7126825999999997,677.934,70,23,18,12,2,3,13,3,5,7,135,4,131
8,afci-bs2-t2-c4-real-r2-non-reset-a1-461ec718ec02,T2,C4,2,True,1,0,False,64,False,3684842,22523,6753,1.8227303999999998,715.295,70,17,14,11,2,3,12,0,2,6,156,4,152
9,afci-bs2-t1-c1-real-r2-non-reset-a1-caa6d4176439,T1,C1,2,False,1,0,False,64,False,3401103,20039,3454,1.6968716999999998,954.962,63,14,10,10,1,3,20,0,1,6,204,1,203
10,afci-bs2-t1-c4-real-r2-non-reset-a1-458077d686b1,T1,C4,2,False,1,0,False,63,False,3110424,19457,5566,1.6186596000000002,795.966,64,9,9,7,2,2,20,2,2,4,95,15,80
11,afci-bs2-t5-c4-real-r1-non-reset-a1-1b4788a2354b,T5,C4,1,False,1,0,False,96,True,5060469,29865,7907,2.3843559,530.116,96,27,17,9,8,3,1,0,7,5,69,2,67
12,afci-bs2-t5-c1-real-r1-non-reset-a1-53749bab5074,T5,C1,1,True,1,1,True,49,False,2265968,17488,4827,1.2464843999999997,342.571,53,16,15,8,2,2,8,0,0,6,70,1,69
13,afci-bs2-t2-c4-real-r1-non-reset-a1-c5458013f1ab,T2,C4,1,True,1,0,False,61,False,3458644,21765,6007,1.7274791999999994,640.788,68,22,16,11,3,2,14,2,4,7,162,4,158
14,afci-bs2-t2-c1-real-r1-non-reset-a1-704a8aa2f528,T2,C1,1,False,1,0,False,62,False,3019864,18723,5176,1.5094827000000004,397.284,65,15,14,10,2,1,16,0,5,7,155,13,142
15,afci-bs2-t1-c1-real-r1-non-reset-a1-590c2d657965,T1,C1,1,False,1,0,False,52,False,2514919,16031,1331,1.3142648999999995,675.289,55,13,10,10,1,3,11,0,3,6,236,2,234
16,afci-bs2-t1-c4-real-r1-non-reset-a1-c1758998b40d,T1,C4,1,False,1,0,False,60,False,3061351,18092,1821,1.5350420999999994,771.324,62,10,8,9,2,3,24,4,3,4,80,1,79
17,afci-bs2-t2-c4-real-r3-non-reset-a1-1bc72a654892,T2,C4,3,True,1,0,False,56,False,3039661,18823,3587,1.5407153999999998,691.537,64,20,17,12,3,2,10,0,1,7,132,4,128
18,afci-bs2-t2-c1-real-r3-non-reset-a1-5627f19543dc,T2,C1,3,True,1,0,False,59,False,3142645,21994,7748,1.6223609999999993,635.327,63,18,15,11,3,3,8,0,2,6,100,4,96
