task,reset_state,repetition,C1_cost_usd,C4_cost_usd,ratio_C4_over_C1
PT01,NON_RESET,1,0.3818688,0.5513352,1.443782
PT01,NON_RESET,2,0.31763430000000004,0.6905397,2.174009
PT01,NON_RESET,3,0.4669259999999999,0.47278289999999995,1.012544
PT04,NON_RESET,1,0.7023855,0.6431391,0.915650
PT04,NON_RESET,2,0.6036516000000002,0.9011481,1.492828
PT04,NON_RESET,3,0.7181487,0.6829994999999999,0.951056
PT07,NON_RESET,1,0.5042994000000002,0.8616980999999999,1.708703
PT07,NON_RESET,2,0.42929340000000005,0.8511083999999999,1.982580
PT07,NON_RESET,3,0.40460055,0.7627237500000001,1.885128
ALL (median),NON_RESET,,,,1.4928
