task_id,baseline_delta_loc_code,afci_delta_loc_code,drift_advantage_loc_code,baseline_layer_jaccard,afci_layer_jaccard,baseline_delta_tests,afci_delta_tests
T01,165,156,9,1.0,1.0,4,5
T01_reset,152,176,-24,1.0,1.0,10,15
T02,279,325,-46,1.0,1.0,8,9
T02_reset,155,161,-6,1.0,1.0,6,6
T03,271,279,-8,1.0,1.0,8,9
T03_reset,-70,-67,-3,1.0,1.0,0,0
T04,284,451,-167,1.0,1.0,8,9
T04_reset,4,3,1,1.0,1.0,0,0
T05,286,507,-221,1.0,1.0,11,13
T05_reset,-3,-3,0,1.0,1.0,5,3
T06,302,575,-273,1.0,1.0,12,15
T06_reset,8,23,-15,1.0,1.0,2,2
T07,278,606,-328,1.0,1.0,14,19
T07_reset,11,7,4,1.0,1.0,4,7
T08,271,656,-385,1.0,1.0,14,19
T08_reset,-11,-11,0,1.0,1.0,0,0
T09,400,897,-497,1.0,1.0,18,23
T09_reset,212,232,-20,1.0,1.0,12,8
T10,433,985,-552,1.0,1.0,22,24
T10_reset,50,-19,69,1.0,1.0,1,2
T11,524,1181,-657,1.0,1.0,25,27
T11_reset,240,217,23,1.0,1.0,17,11
T12,532,1247,-715,1.0,1.0,29,28
T12_reset,293,336,-43,1.0,1.0,15,15
