task,reset_state,repetition,C1_total_input_tokens,C4_total_input_tokens,ratio_C4_over_C1,c4_lower
PT01,NON_RESET,1,506889,789811,1.558154,false
PT01,NON_RESET,2,367027,1095653,2.985211,false
PT01,NON_RESET,3,664777,556191,0.836658,true
PT01,RESET,2,503047,672666,1.337183,false
PT01,RESET,3,511529,568028,1.110451,false
PT04,NON_RESET,1,862884,727906,0.843573,true
PT04,NON_RESET,2,767489,1075596,1.401448,false
PT04,NON_RESET,3,912113,739987,0.811289,true
PT04,RESET,2,904798,843692,0.932464,true
PT04,RESET,3,928820,1279551,1.377609,false
PT07,NON_RESET,1,545838,1196878,2.192735,false
PT07,NON_RESET,2,619370,1062096,1.714801,false
PT07,NON_RESET,3,666338,1095041,1.643372,false
PT07,RESET,1,733633,1028101,1.401383,false
PT07,RESET,2,763311,1075846,1.409446,false
PT07,RESET,3,730940,1052817,1.440360,false
