labels,sequence,slot,task_id,repetition,execution_attempt,run_id,condition,disposition,task_delivered,observation_valid,functional_valid,semantic_passed,semantic_total,architecture_applicable_opportunities,architecture_violated_opportunities,target_violation,max_turns_reached,turns_used,permission_denials,cost_usd,total_input_tokens,total_output_tokens,model_wall_seconds,total_tool_calls,exploration_calls,grep_calls,glob_calls,builtin_tool_launch_failures,files_changed,loc_changed,model_resolved,effort_readback,runtime_version,runtime_executable_has_exe_extension,session_id_present,failure_class,deviation
instrument qualification; C1-only; pre-treatment; not AFCI treatment evidence; clean re-execution of the halted V2,1,Q7,BTQ2-C02,1,1,afci-bq2r1-btq2-c02-c1-real-r1-non-reset-a1-607888ac92e0,C1,SCIENTIFIC_OBSERVATION,True,True,False,0,5,0,0,False,True,96,1,4.264654500000001,7203310,80001,1421.875,96,63,31,1,0,0,0,claude-sonnet-5,VALIDATED,2.1.229,True,True,,
instrument qualification; C1-only; pre-treatment; not AFCI treatment evidence; clean re-execution of the halted V2,2,Q8,BTQ2-C03,1,1,afci-bq2r1-btq2-c03-c1-real-r1-non-reset-a1-b66c300a6b6b,C1,SCIENTIFIC_OBSERVATION,True,True,True,3,3,1,0,False,False,77,9,2.4423326999999992,5098377,30220,845.039,76,24,4,3,0,7,363,claude-sonnet-5,VALIDATED,2.1.229,True,True,,
instrument qualification; C1-only; pre-treatment; not AFCI treatment evidence; clean re-execution of the halted V2,3,Q10,BTQ2-C05,3,1,afci-bq2r1-btq2-c05-c1-real-r3-non-reset-a1-4f2af839d838,C1,SCIENTIFIC_OBSERVATION,True,True,True,3,3,1,0,False,True,96,0,3.9692505000000002,8207499,46760,870.999,105,37,6,0,0,4,130,claude-sonnet-5,VALIDATED,2.1.229,True,True,,
instrument qualification; C1-only; pre-treatment; not AFCI treatment evidence; clean re-execution of the halted V2,4,Q9,BTQ2-C04,2,1,afci-bq2r1-btq2-c04-c1-real-r2-non-reset-a1-94e59b7e2a1b,C1,SCIENTIFIC_OBSERVATION,True,True,True,3,3,1,0,False,False,93,10,3.270234600000001,7364257,32682,696.194,93,27,4,0,0,9,228,claude-sonnet-5,VALIDATED,2.1.229,True,True,,
instrument qualification; C1-only; pre-treatment; not AFCI treatment evidence; clean re-execution of the halted V2,5,Q6,BTQ2-C01,3,1,afci-bq2r1-btq2-c01-c1-real-r3-non-reset-a1-ab86f0bf18d8,C1,SCIENTIFIC_OBSERVATION,True,True,False,4,5,1,0,False,True,96,8,2.9964290999999985,6240400,32431,987.273,96,24,3,0,0,10,323,claude-sonnet-5,VALIDATED,2.1.229,True,True,,
instrument qualification; C1-only; pre-treatment; not AFCI treatment evidence; clean re-execution of the halted V2,6,Q6,BTQ2-C01,1,1,afci-bq2r1-btq2-c01-c1-real-r1-non-reset-a1-557f0c2b9fc4,C1,SCIENTIFIC_OBSERVATION,True,True,False,4,5,1,0,False,True,96,10,3.7816383000000005,8066276,44403,1293.01,109,41,13,0,0,8,269,claude-sonnet-5,VALIDATED,2.1.229,True,True,,
instrument qualification; C1-only; pre-treatment; not AFCI treatment evidence; clean re-execution of the halted V2,7,Q8,BTQ2-C03,3,1,afci-bq2r1-btq2-c03-c1-real-r3-non-reset-a1-400ab3ae70d9,C1,SCIENTIFIC_OBSERVATION,True,True,True,3,3,1,0,False,False,56,0,1.354026,2629924,17961,402.649,55,11,0,0,0,8,258,claude-sonnet-5,VALIDATED,2.1.229,True,True,,
instrument qualification; C1-only; pre-treatment; not AFCI treatment evidence; clean re-execution of the halted V2,8,Q10,BTQ2-C05,2,1,afci-bq2r1-btq2-c05-c1-real-r2-non-reset-a1-6778e5d40f4e,C1,SCIENTIFIC_OBSERVATION,True,True,True,3,3,1,0,False,True,96,2,4.230916800000002,8971591,48147,628.362,104,39,4,0,0,7,269,claude-sonnet-5,VALIDATED,2.1.229,True,True,,
instrument qualification; C1-only; pre-treatment; not AFCI treatment evidence; clean re-execution of the halted V2,9,Q7,BTQ2-C02,2,1,afci-bq2r1-btq2-c02-c1-real-r2-non-reset-a1-cf5beadb67fe,C1,INFRASTRUCTURE_INVALID,True,False,,,,,,,False,1,0,0.0,0,0,0.851,0,0,0,0,0,,,claude-sonnet-5,EFFORT_READBACK_MISSING,2.1.229,True,True,INFRA_AUTH_OUTAGE,
instrument qualification; C1-only; pre-treatment; not AFCI treatment evidence; clean re-execution of the halted V2,10,Q9,BTQ2-C04,3,1,afci-bq2r1-btq2-c04-c1-real-r3-non-reset-a1-9c82421a88fd,C1,SCIENTIFIC_OBSERVATION,True,True,False,0,3,0,0,False,False,94,13,3.8676027,9119487,26062,494.817,93,38,9,3,0,119,3148,claude-sonnet-5,VALIDATED,2.1.229,True,True,,
instrument qualification; C1-only; pre-treatment; not AFCI treatment evidence; clean re-execution of the halted V2,11,Q9,BTQ2-C04,1,1,afci-bq2r1-btq2-c04-c1-real-r1-non-reset-a1-e76eaf67c884,C1,SCIENTIFIC_OBSERVATION,True,True,True,3,3,1,0,False,True,96,13,3.5365602000000007,7905395,36729,503.692,96,33,5,1,0,7,162,claude-sonnet-5,VALIDATED,2.1.229,True,True,,
