task_id,condition,p0_boundary,p0_ports,p0_contracts,p1_observability,total
T01,afci,0,0,0,0,0
T01,afci_reset,0,0,0,0,0
T01,baseline,0,0,0,0,0
T01,baseline_reset,0,0,0,0,0
T02,afci,0,0,0,0,0
T02,afci_reset,0,0,0,0,0
T02,baseline,0,0,0,0,0
T02,baseline_reset,0,0,0,0,0
T03,afci,0,0,0,0,0
T03,afci_reset,0,0,0,0,0
T03,baseline,0,0,0,0,0
T03,baseline_reset,0,0,0,0,0
T04,afci,0,0,0,0,0
T04,afci_reset,0,0,0,0,0
T04,baseline,0,0,0,0,0
T04,baseline_reset,0,0,0,0,0
T05,afci,0,0,0,0,0
T05,afci_reset,0,0,0,0,0
T05,baseline,0,0,0,0,0
T05,baseline_reset,0,0,0,0,0
T06,afci,0,0,0,0,0
T06,afci_reset,0,0,0,0,0
T06,baseline,0,0,0,0,0
T06,baseline_reset,0,0,0,0,0
T07,afci,0,0,0,0,0
T07,afci_reset,0,0,0,0,0
T07,baseline,0,0,0,0,0
T07,baseline_reset,0,0,0,0,0
T08,afci,0,0,0,0,0
T08,afci_reset,0,0,0,0,0
T08,baseline,0,0,0,0,0
T08,baseline_reset,0,0,0,0,0
T09,afci,0,0,0,0,0
T09,afci_reset,0,0,0,0,0
T09,baseline,0,0,0,0,0
T09,baseline_reset,0,0,0,0,0
T10,afci,0,0,0,0,0
T10,afci_reset,0,0,0,0,0
T10,baseline,0,0,0,0,0
T10,baseline_reset,0,0,0,0,0
T11,afci,0,0,0,0,0
T11,afci_reset,0,0,0,0,0
T11,baseline,0,0,0,0,0
T11,baseline_reset,0,0,0,0,0
T12,afci,0,0,0,0,0
T12,afci_reset,0,0,0,0,0
T12,baseline,0,0,0,0,0
T12,baseline_reset,0,0,0,0,0
