claim_id,candidate_claim,construct,direct_metric,secondary_metric,research_question,unit_of_analysis,aggregation,confirmatory_or_exploratory,required_evidence,unsupported_claim_risk,status,notes
CL01,AFCI (C4) lowers the dependency-direction violation rate relative to task-only prompting (C1),CON-AC,dependency-direction violation rate per applicable frozen opportunity (numerator opportunity_accounting.violated_opportunity_count; offset opportunity_accounting.applicable_opportunity_count),applicable-frozen-opportunity satisfaction proportion,RQ1,run (one patch),Poisson/NB GLMM over E1-eligible tasks; task random effect; condition fixed; marginal contrast C4 vs C1,confirmatory,validated conformance oracle (G1); guard precision/recall (G6); powered independent runs; multiplicity-corrected contrast,must not be restated as improved architectural integrity (CON-AI is broader and not directly measured) nor as broad architectural conformance (CON-ACB is not directly measured by E1),candidate,primary endpoint family; measures dependency direction only per RESEARCH_QUESTIONS CON-AC as narrowed by suite-classification decision D
CL02,AFCI (C4) lowers the dependency-direction violation rate relative to token-matched generic guidance (C2),CON-AC,dependency-direction violation rate per applicable frozen opportunity,applicable-frozen-opportunity satisfaction proportion,RQ1,run (one patch),Poisson/NB GLMM over E1-eligible tasks; marginal contrast C4 vs C2,confirmatory,as CL01 plus verified C2/C4 token match within tolerance (TD-B08; G4),without a verified token match the effect could be token volume not architecture content,candidate,isolates architecture content from token volume
CL03,The C4-vs-C3 dependency-direction violation-rate relationship characterizes the delivery channel (persistent file vs governed injection); superiority equivalence or inferiority are all valid outcomes,CON-AC,dependency-direction violation rate per applicable frozen opportunity,applicable-frozen-opportunity satisfaction proportion,RQ1,run (one patch),Poisson/NB GLMM over E1-eligible tasks; equivalence-aware/two-sided contrast C4 vs C3,confirmatory,as CL01 plus byte-identical MAD content across C3/C4 (G5; TD-B18); pre-registered equivalence margin (TD-B07; not from v1),treating a non-significant difference as proof of equivalence without an equivalence test; content is held byte-identical so the isolate is the delivery channel,candidate,isolates delivery channel; C3 approx C4 is a valid supported outcome (D4); paper viability does not depend on C4 superiority
CL04,Applicable-frozen-opportunity satisfaction proportion is reported as a descriptive transformation of the primary dependency-direction violation-rate endpoint (E1),CON-AC,applicable-frozen-opportunity satisfaction proportion (descriptive transformation of E1),dependency-direction violation rate per applicable frozen opportunity,RQ1,run (one patch),descriptive summary over E1-eligible tasks; NOT an independent confirmatory contrast,exploratory,G1; G6; ceiling/saturation check reported for interpretability,presenting a descriptive transformation as an independent confirmatory endpoint; double-counting with E1,candidate,descriptive transformation of the single primary endpoint E1 (D8); not independently confirmatory
CL05,A controlled mid-task reset degrades direct conformance and completeness outcomes,CON-RR,reset main effect on a direct outcome (dependency-direction violation rate; hidden-test pass),acceptance-criteria coverage,RQ2,run (one patch),GLMM with reset fixed effect over tasks,exploratory,valid checkpoints (TD-B01; G1/G2); equal budgets (TD-B11),a null degradation may reflect an ineffective or too-late checkpoint rather than true robustness,candidate,reset main effect reported alongside the confirmatory interaction; reset is an experimental factor crossed with tasks not a task-content category
CL06,AFCI (C4) attenuates reset-induced degradation more than the comparison conditions,CON-RR,condition x reset interaction on a direct outcome,within-condition reset-vs-nonreset degradation,RQ2,run (one patch),GLMM with condition x reset interaction; task random effect,confirmatory,valid checkpoints (G1/G2); equal budgets; power adequate for an interaction modelling pseudo-replication of shared boundary decisions (TD-B20; TD-B30); multiplicity correction,interpreting a non-significant interaction as no effect (absence of evidence is not evidence of absence),candidate,interactions need more power than main effects
CL07,AFCI (C4) increases the hidden acceptance-test pass proportion relative to C1/C2/C3,CON-TC,hidden acceptance-test pass proportion,acceptance-criteria coverage,RQ3,run (one patch),binomial GLMM over tasks; contrasts C4 vs each comparison,confirmatory,hidden tests withheld from the model and shown discriminating (G1/G2); mutation/sanity checks,visible-CI pass must not be used as completeness (gameable; v1 ci_pass saturated True),candidate,direct completeness metric per CON-TC; includes E1-ineligible functional-only tasks
CL08,AFCI (C4) increases acceptance-criteria coverage relative to C1/C2/C3,CON-TC,acceptance-criteria coverage (per-criterion satisfied; supporting descriptive measure for E3),hidden acceptance-test pass proportion,RQ3,run (one patch),binomial GLMM over tasks (exploratory/supporting); reported alongside E3; not an independent confirmatory contrast,exploratory,adjudicated criteria with oracle traceability (G1); inter-rater agreement for manual criteria,partial-credit coverage can hide functional failure; pair with hidden-test pass; must not be treated as an independent confirmatory endpoint,candidate,supporting/descriptive completeness measure (exploratory); confirmatory completeness endpoint is the hidden acceptance-test pass proportion (E3/CL07); reported alongside E3
CL09,AFCI (C4) does not incur an unacceptable increase in change footprint relative to comparisons,CON-EC,none (cost qualifier for CON-TC/CON-AC),code churn; test churn; files changed (out-of-scope surface),RQ3,run (one patch),NB/lognormal over tasks,exploratory,pre-registered unacceptable-cost tolerance (TD-B15); out-of-scope surface defined per task (TASK_ACCEPTANCE_MATRIX),change footprint is not architectural drift and not integrity; Delta-CodeLOC is not drift,candidate,secondary change-footprint metric; can only qualify a gain never establish one
CL10,AFCI (C4) does not incur an unacceptable increase in tokens/time/verification iterations relative to comparisons,CON-EC,none (cost qualifier),tokens; execution time; verification iterations (CI attempts),RQ3,run (one patch),NB (tokens/iterations) and lognormal (time) over tasks,exploratory,machine-readable token/time/iteration capture; pre-registered tolerance (TD-B15),efficiency claims without a pre-registered tolerance are post-hoc,candidate,secondary engineering-cost metric
