experiment_id,execution_attempt,sequence,run_id,task,model,condition,reset_state,repetition,run_purpose,functional_valid,semantic_pass,semantic_fail,architecture_applicable,architecture_violated,raw_architecture_violations,total_input_tokens,input_tokens,cache_creation_input_tokens,cache_read_input_tokens,total_output_tokens,model_wall_seconds,total_run_seconds,provider_cost_usd,total_tool_calls,exploration_calls,read_calls,grep_calls,glob_calls,bash_calls,edit_calls,write_calls,unique_files_read,unique_files_modified,files_reedited,ci_command_runs,test_command_runs,lines_added,lines_removed,net_lines,checkpoint_status,max_turn_status,run_status,eligible_for_analysis,reason_if_excluded,artifact_path,evidence_hash_if_available,notes
V2_BACKSTAGE_PILOT_ATTEMPT_2,1,1,afci-bs2-t1-c1-real-r3-non-reset-a1-ac5f41ae5239,T1,claude-sonnet-5,C1,NON_RESET,3,AFCI_BACKSTAGE_PILOT_ATTEMPT_2,false,3,1,1,0,,3865966,139,80200,3785627,19468,554.784,2880.072,1.9093251,72,11,10,1,0,50,9,2,8,6,2,4,0,131,2,129,NOT_APPLICABLE_NON_RESET,UNDER_CEILING,COMPLETE,false,functionally invalid: 1 of 4 semantic cases did not pass,D:\afci-b2\runs\afci-bs2-t1-c1-real-r3-non-reset-a1-ac5f41ae5239,,"block=T1|R3; model_invoked=True; model_readback=claude-sonnet-5; effort_readback=high; runtime_context=CLEAN; runtime=2.1.229; session_unique=True; substrate_tree=4dfadc101db1c9f29b82934db25def67a93a2563; turns_used=70/96; completion=COMPLETED_NATURALLY; permission_denials=4; gate_command_runs=17; failed_gate_cycles=2; files_changed=5; target_violation=False; restraint=all_passed; functional_valid is the SL-V2-BACKSTAGE-PILOT-01 7.2 definition (semantic cases only; restraint recorded separately). Architecture placement is scored independently of functional validity, so this row enters the primary architecture endpoint whether or not it is efficiency-eligible."
V2_BACKSTAGE_PILOT_ATTEMPT_2,1,2,afci-bs2-t1-c4-real-r3-non-reset-a1-844b4866ff74,T1,claude-sonnet-5,C4,NON_RESET,3,AFCI_BACKSTAGE_PILOT_ATTEMPT_2,false,3,1,1,0,,3146439,113,59605,3086721,18782,826.462,1980.363,1.5657153000000001,60,9,9,0,0,40,10,1,8,5,4,7,0,169,2,167,NOT_APPLICABLE_NON_RESET,UNDER_CEILING,COMPLETE,false,functionally invalid: 1 of 4 semantic cases did not pass,D:\afci-b2\runs\afci-bs2-t1-c4-real-r3-non-reset-a1-844b4866ff74,,"block=T1|R3; model_invoked=True; model_readback=claude-sonnet-5; effort_readback=high; runtime_context=CLEAN; runtime=2.1.229; session_unique=True; substrate_tree=4dfadc101db1c9f29b82934db25def67a93a2563; turns_used=57/96; completion=COMPLETED_NATURALLY; permission_denials=3; gate_command_runs=22; failed_gate_cycles=3; files_changed=5; target_violation=False; restraint=all_passed; functional_valid is the SL-V2-BACKSTAGE-PILOT-01 7.2 definition (semantic cases only; restraint recorded separately). Architecture placement is scored independently of functional validity, so this row enters the primary architecture endpoint whether or not it is efficiency-eligible."
V2_BACKSTAGE_PILOT_ATTEMPT_2,1,3,afci-bs2-t5-c4-real-r3-non-reset-a1-de74e51327d3,T5,claude-sonnet-5,C4,NON_RESET,3,AFCI_BACKSTAGE_PILOT_ATTEMPT_2,false,0,5,1,1,,3965479,153,64379,3900947,27311,382.871,1296.884,1.9666820999999999,76,17,16,1,0,47,6,6,16,10,1,1,0,50,1,49,NOT_APPLICABLE_NON_RESET,UNDER_CEILING,COMPLETE,false,functionally invalid: 5 of 5 semantic cases did not pass,D:\afci-b2\runs\afci-bs2-t5-c4-real-r3-non-reset-a1-de74e51327d3,,"block=T5|R3; model_invoked=True; model_readback=claude-sonnet-5; effort_readback=high; runtime_context=CLEAN; runtime=2.1.229; session_unique=True; substrate_tree=4dfadc101db1c9f29b82934db25def67a93a2563; turns_used=77/96; completion=COMPLETED_NATURALLY; permission_denials=10; gate_command_runs=1; failed_gate_cycles=0; files_changed=4; target_violation=True; restraint=not_all_passed; functional_valid is the SL-V2-BACKSTAGE-PILOT-01 7.2 definition (semantic cases only; restraint recorded separately). Architecture placement is scored independently of functional validity, so this row enters the primary architecture endpoint whether or not it is efficiency-eligible."
V2_BACKSTAGE_PILOT_ATTEMPT_2,1,4,afci-bs2-t5-c1-real-r3-non-reset-a1-43cabca2b6c0,T5,claude-sonnet-5,C1,NON_RESET,3,AFCI_BACKSTAGE_PILOT_ATTEMPT_2,false,0,5,1,0,,5311326,191,74004,5237131,27471,694.569,1406.402,2.427801299999999,96,30,20,6,4,51,8,7,19,12,2,0,0,57,2,55,NOT_APPLICABLE_NON_RESET,HIT_TURN_CEILING,COMPLETE,false,functionally invalid: 5 of 5 semantic cases did not pass,D:\afci-b2\runs\afci-bs2-t5-c1-real-r3-non-reset-a1-43cabca2b6c0,,"block=T5|R3; model_invoked=True; model_readback=claude-sonnet-5; effort_readback=high; runtime_context=CLEAN; runtime=2.1.229; session_unique=True; substrate_tree=4dfadc101db1c9f29b82934db25def67a93a2563; turns_used=96/96; completion=MAX_TURNS_REACHED; permission_denials=4; gate_command_runs=1; failed_gate_cycles=0; files_changed=5; target_violation=False; restraint=not_all_passed; functional_valid is the SL-V2-BACKSTAGE-PILOT-01 7.2 definition (semantic cases only; restraint recorded separately). Architecture placement is scored independently of functional validity, so this row enters the primary architecture endpoint whether or not it is efficiency-eligible."
V2_BACKSTAGE_PILOT_ATTEMPT_2,1,5,afci-bs2-t5-c1-real-r2-non-reset-a1-3e3c04d1fefd,T5,claude-sonnet-5,C1,NON_RESET,2,AFCI_BACKSTAGE_PILOT_ATTEMPT_2,true,5,0,1,1,,5084546,173,83658,5000715,31502,829.232,1895.823,2.4752115,86,16,13,3,0,57,10,3,13,8,3,5,0,74,1,73,NOT_APPLICABLE_NON_RESET,UNDER_CEILING,COMPLETE,true,,D:\afci-b2\runs\afci-bs2-t5-c1-real-r2-non-reset-a1-3e3c04d1fefd,,"block=T5|R2; model_invoked=True; model_readback=claude-sonnet-5; effort_readback=high; runtime_context=CLEAN; runtime=2.1.229; session_unique=True; substrate_tree=4dfadc101db1c9f29b82934db25def67a93a2563; turns_used=87/96; completion=COMPLETED_NATURALLY; permission_denials=2; gate_command_runs=20; failed_gate_cycles=3; files_changed=6; target_violation=True; restraint=all_passed; functional_valid is the SL-V2-BACKSTAGE-PILOT-01 7.2 definition (semantic cases only; restraint recorded separately). Architecture placement is scored independently of functional validity, so this row enters the primary architecture endpoint whether or not it is efficiency-eligible."
V2_BACKSTAGE_PILOT_ATTEMPT_2,1,6,afci-bs2-t5-c4-real-r2-non-reset-a1-ff15bd075e82,T5,claude-sonnet-5,C4,NON_RESET,2,AFCI_BACKSTAGE_PILOT_ATTEMPT_2,true,5,0,1,0,,4654389,177,69921,4584291,21368,843.708,1807.794,2.1158642999999997,88,14,13,0,1,62,11,1,12,8,3,6,0,102,2,100,NOT_APPLICABLE_NON_RESET,UNDER_CEILING,COMPLETE,true,,D:\afci-b2\runs\afci-bs2-t5-c4-real-r2-non-reset-a1-ff15bd075e82,,"block=T5|R2; model_invoked=True; model_readback=claude-sonnet-5; effort_readback=high; runtime_context=CLEAN; runtime=2.1.229; session_unique=True; substrate_tree=4dfadc101db1c9f29b82934db25def67a93a2563; turns_used=89/96; completion=COMPLETED_NATURALLY; permission_denials=5; gate_command_runs=16; failed_gate_cycles=4; files_changed=8; target_violation=False; restraint=all_passed; functional_valid is the SL-V2-BACKSTAGE-PILOT-01 7.2 definition (semantic cases only; restraint recorded separately). Architecture placement is scored independently of functional validity, so this row enters the primary architecture endpoint whether or not it is efficiency-eligible."
V2_BACKSTAGE_PILOT_ATTEMPT_2,1,7,afci-bs2-t2-c1-real-r2-non-reset-a1-1ac04bb33d22,T2,claude-sonnet-5,C1,NON_RESET,2,AFCI_BACKSTAGE_PILOT_ATTEMPT_2,true,4,0,1,0,,3341621,123,63156,3278342,23325,677.934,1744.85,1.7126825999999997,70,23,19,4,0,32,12,2,18,8,3,6,0,135,4,131,NOT_APPLICABLE_NON_RESET,UNDER_CEILING,COMPLETE,true,,D:\afci-b2\runs\afci-bs2-t2-c1-real-r2-non-reset-a1-1ac04bb33d22,,"block=T2|R2; model_invoked=True; model_readback=claude-sonnet-5; effort_readback=high; runtime_context=CLEAN; runtime=2.1.229; session_unique=True; substrate_tree=4dfadc101db1c9f29b82934db25def67a93a2563; turns_used=62/96; completion=COMPLETED_NATURALLY; permission_denials=5; gate_command_runs=13; failed_gate_cycles=3; files_changed=7; target_violation=False; restraint=all_passed; functional_valid is the SL-V2-BACKSTAGE-PILOT-01 7.2 definition (semantic cases only; restraint recorded separately). Architecture placement is scored independently of functional validity, so this row enters the primary architecture endpoint whether or not it is efficiency-eligible."
V2_BACKSTAGE_PILOT_ATTEMPT_2,1,8,afci-bs2-t2-c4-real-r2-non-reset-a1-461ec718ec02,T2,claude-sonnet-5,C4,NON_RESET,2,AFCI_BACKSTAGE_PILOT_ATTEMPT_2,true,4,0,1,0,,3684842,127,66507,3618208,22523,715.295,1728.349,1.8227303999999998,70,17,17,0,0,40,11,2,14,7,3,4,0,156,4,152,NOT_APPLICABLE_NON_RESET,UNDER_CEILING,COMPLETE,true,,D:\afci-b2\runs\afci-bs2-t2-c4-real-r2-non-reset-a1-461ec718ec02,,"block=T2|R2; model_invoked=True; model_readback=claude-sonnet-5; effort_readback=high; runtime_context=CLEAN; runtime=2.1.229; session_unique=True; substrate_tree=4dfadc101db1c9f29b82934db25def67a93a2563; turns_used=64/96; completion=COMPLETED_NATURALLY; permission_denials=2; gate_command_runs=12; failed_gate_cycles=0; files_changed=6; target_violation=False; restraint=all_passed; functional_valid is the SL-V2-BACKSTAGE-PILOT-01 7.2 definition (semantic cases only; restraint recorded separately). Architecture placement is scored independently of functional validity, so this row enters the primary architecture endpoint whether or not it is efficiency-eligible."
V2_BACKSTAGE_PILOT_ATTEMPT_2,1,9,afci-bs2-t1-c1-real-r2-non-reset-a1-caa6d4176439,T1,claude-sonnet-5,C1,NON_RESET,2,AFCI_BACKSTAGE_PILOT_ATTEMPT_2,false,3,1,1,0,,3401103,127,65897,3335079,20039,954.962,2052.554,1.6968716999999998,63,14,11,0,3,38,10,1,10,6,3,5,0,204,1,203,NOT_APPLICABLE_NON_RESET,UNDER_CEILING,COMPLETE,false,functionally invalid: 1 of 4 semantic cases did not pass,D:\afci-b2\runs\afci-bs2-t1-c1-real-r2-non-reset-a1-caa6d4176439,,"block=T1|R2; model_invoked=True; model_readback=claude-sonnet-5; effort_readback=high; runtime_context=CLEAN; runtime=2.1.229; session_unique=True; substrate_tree=4dfadc101db1c9f29b82934db25def67a93a2563; turns_used=64/96; completion=COMPLETED_NATURALLY; permission_denials=1; gate_command_runs=20; failed_gate_cycles=0; files_changed=6; target_violation=False; restraint=all_passed; functional_valid is the SL-V2-BACKSTAGE-PILOT-01 7.2 definition (semantic cases only; restraint recorded separately). Architecture placement is scored independently of functional validity, so this row enters the primary architecture endpoint whether or not it is efficiency-eligible."
V2_BACKSTAGE_PILOT_ATTEMPT_2,1,10,afci-bs2-t1-c4-real-r2-non-reset-a1-458077d686b1,T1,claude-sonnet-5,C4,NON_RESET,2,AFCI_BACKSTAGE_PILOT_ATTEMPT_2,false,3,1,1,0,,3110424,125,69007,3041292,19457,795.966,2264.07,1.6186596000000002,64,9,9,0,0,46,7,2,9,5,2,7,0,95,15,80,NOT_APPLICABLE_NON_RESET,UNDER_CEILING,COMPLETE,false,functionally invalid: 1 of 4 semantic cases did not pass,D:\afci-b2\runs\afci-bs2-t1-c4-real-r2-non-reset-a1-458077d686b1,,"block=T1|R2; model_invoked=True; model_readback=claude-sonnet-5; effort_readback=high; runtime_context=CLEAN; runtime=2.1.229; session_unique=True; substrate_tree=4dfadc101db1c9f29b82934db25def67a93a2563; turns_used=63/96; completion=COMPLETED_NATURALLY; permission_denials=2; gate_command_runs=20; failed_gate_cycles=2; files_changed=4; target_violation=False; restraint=all_passed; functional_valid is the SL-V2-BACKSTAGE-PILOT-01 7.2 definition (semantic cases only; restraint recorded separately). Architecture placement is scored independently of functional validity, so this row enters the primary architecture endpoint whether or not it is efficiency-eligible."
