task_id,rule_id,rule_summary,applicability,severity,evaluator_type,evaluator_ref,mutation_sanity_test,evidence_location,status,owner,notes
TASK-TEMPLATE-A,AR-TODO-01,TODO TD-B04 (e.g. domain layer must not import the infrastructure layer),applicable,TODO TD-B04 (blocker/major/minor),automated,nx enforce-module-boundaries (repo CI) + v2 architecture oracle (experiments/v2/oracle),TODO TD-B12 (an injected core->infra import must be flagged; synthetic fixtures pass),experiments/v2/results/<run_id>/oracle_result.json,TODO,Oracle Designer,template row; rule catalog authored (docs/v2/ARCHITECTURE_RULE_CATALOG.yml); per-task applicability unresolved until pilot task design
TASK-TEMPLATE-A,AR-TODO-02,TODO TD-B04 (e.g. public API must be reached only through the gateway module),applicable,TODO TD-B04,manual,manual adjudication by two raters with inter-rater agreement,TODO TD-B12 (a seeded gateway bypass must be flagged),experiments/v2/results/<run_id>/oracle_result.json,TODO,Oracle Designer,template row; manual-rule example; not populated
TASK-TEMPLATE-B,AR-TODO-03,TODO TD-B04 (rule that is deliberately NOT applicable for this task),not-applicable,n/a,automated,nx enforce-module-boundaries (repo CI) + v2 architecture oracle (experiments/v2/oracle),TODO TD-B12,experiments/v2/results/<run_id>/oracle_result.json,TODO,Oracle Designer,template row; shows non-applicable handling; rule catalog authored (docs/v2/ARCHITECTURE_RULE_CATALOG.yml)
PT01,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo (per-task rule mapping; TD-B04),stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,"private_reference (evaluator_manifest.json, private evaluator repo)",TD-B12 (validated at freeze; not this package),experiments/v2/results/<run_id>/oracle_result.json,candidate-not-frozen,Pilot Task Designer,public row; applicable rule ids withheld to prevent architecture leakage
PT02,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo (per-task rule mapping; TD-B04),stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,"private_reference (evaluator_manifest.json, private evaluator repo)",TD-B12 (validated at freeze; not this package),experiments/v2/results/<run_id>/oracle_result.json,candidate-not-frozen,Pilot Task Designer,public row; applicable rule ids withheld to prevent architecture leakage
PT03,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo (per-task rule mapping; TD-B04),stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,"private_reference (evaluator_manifest.json, private evaluator repo)",TD-B12 (validated at freeze; not this package),experiments/v2/results/<run_id>/oracle_result.json,candidate-not-frozen,Pilot Task Designer,public row; applicable rule ids withheld to prevent architecture leakage
PT04,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo (per-task rule mapping; TD-B04),stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,"private_reference (evaluator_manifest.json, private evaluator repo)",TD-B12 (validated at freeze; not this package),experiments/v2/results/<run_id>/oracle_result.json,candidate-not-frozen,Pilot Task Designer,public row; applicable rule ids withheld to prevent architecture leakage
PT05,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo (per-task rule mapping; TD-B04),stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,"private_reference (evaluator_manifest.json, private evaluator repo)",TD-B12 (validated at freeze; not this package),experiments/v2/results/<run_id>/oracle_result.json,candidate-not-frozen,Pilot Task Designer,public row; applicable rule ids withheld to prevent architecture leakage
PT06,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo (per-task rule mapping; TD-B04),stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,"private_reference (evaluator_manifest.json, private evaluator repo)",TD-B12 (validated at freeze; not this package),experiments/v2/results/<run_id>/oracle_result.json,candidate-not-frozen,Pilot Task Designer,public row; applicable rule ids withheld to prevent architecture leakage
PR01,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo (per-task rule mapping; TD-B04),stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,"private_reference (evaluator_manifest.json, private evaluator repo)",TD-B12 (validated at freeze; not this package),experiments/v2/results/<run_id>/oracle_result.json,candidate-not-frozen,Pilot Task Designer,public row; applicable rule ids withheld to prevent architecture leakage
PR02,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo (per-task rule mapping; TD-B04),stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,"private_reference (evaluator_manifest.json, private evaluator repo)",TD-B12 (validated at freeze; not this package),experiments/v2/results/<run_id>/oracle_result.json,candidate-not-frozen,Pilot Task Designer,public row; applicable rule ids withheld to prevent architecture leakage
