task_id,baseline_code_churn,afci_code_churn,baseline_test_churn,afci_test_churn,baseline_reset_code_churn,afci_reset_code_churn,baseline_reset_test_churn,afci_reset_test_churn
T01,321,346,53,77,304,354,217,288
T02,437,517,105,138,333,337,87,89
T03,497,569,105,138,290,279,3,3
T04,512,743,107,142,150,147,3,2
T05,518,805,128,184,147,143,35,19
T06,534,875,145,217,154,169,42,54
T07,542,938,173,268,165,161,22,27
T08,549,994,173,268,147,147,0,0
T09,678,1235,222,338,386,428,241,148
T10,713,1327,257,350,224,341,57,102
T11,804,1523,285,386,434,411,270,156
T12,814,1593,319,422,493,518,282,276
