run_id,artifact_dir,execution_attempt,task,condition,reset_state,repetition,task_sha256,model,model_identity,context_audit,outcome_status,is_result,functional_valid,functional_executed,semantic_pass,semantic_fail,semantic_expected,semantic_executed,TOTAL_INPUT_TOKENS,input_tokens,cache_creation_input_tokens,cache_read_input_tokens,TOTAL_OUTPUT_TOKENS,cost_usd,usage_source,MODEL_WALL_SECONDS,TOTAL_RUN_SECONDS,TURNS_USED,hit_turn_ceiling,efficiency_status,TOTAL_TOOL_CALLS,EXPLORATION_CALLS,READ_CALLS,GREP_CALLS,GLOB_CALLS,BASH_CALLS,EDIT_CALLS,WRITE_CALLS,UNIQUE_FILES_READ,UNIQUE_FILES_MODIFIED,FILES_REEDITED,CI_COMMAND_RUNS,TEST_COMMAND_RUNS,FAILED_TEST_OR_CI_CYCLES,checkpoint_id,checkpoint_reached,pre_reset_turns_used,post_reset_turns_used,reset_status
afci-efficiency-pilot-pt01-c1-real-r1-non-reset-a2-739ef44ece2e,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt01-c1-real-r1-non-reset-a2-739ef44ece2e,2,PT01,C1,NON_RESET,1,6c938822fe19cd6e87942a6ee24ec8f604c0883da1b7f80d45216be35d7c9c39,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,506889,33,23640,483216,6331,0.3818688,terminal_result,72.106,75.124,17,False,COMPLETED_NATURALLY,21,7,7,0,0,10,4,0,7,2,1,1,0,0,,,,,COMPLETED_NATURALLY
afci-efficiency-pilot-pt01-c1-real-r1-reset-a2-8e4b4e997fe1,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt01-c1-real-r1-reset-a2-8e4b4e997fe1,2,PT01,C1,RESET,1,6c938822fe19cd6e87942a6ee24ec8f604c0883da1b7f80d45216be35d7c9c39,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,610376,46,39474,570856,,,per_message_partial,83.664,86.612,24,False,RESET_COMPLETE,32,14,14,0,0,13,5,0,8,2,2,2,0,0,CK-EFF-FALLBACK-CI-AGENT-AFTER-EDIT,True,11,13,RESET_COMPLETE
afci-efficiency-pilot-pt01-c1-real-r2-non-reset-a2-9cbb3362c8ec,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt01-c1-real-r2-non-reset-a2-9cbb3362c8ec,2,PT01,C1,NON_RESET,2,6c938822fe19cd6e87942a6ee24ec8f604c0883da1b7f80d45216be35d7c9c39,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,367027,25,22491,344511,5284,0.31763430000000004,terminal_result,72.423,75.409,13,False,COMPLETED_NATURALLY,17,7,7,0,0,6,4,0,7,2,1,1,0,1,,,,,COMPLETED_NATURALLY
afci-efficiency-pilot-pt01-c1-real-r2-reset-a2-ce5428287262,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt01-c1-real-r2-reset-a2-ce5428287262,2,PT01,C1,RESET,2,6c938822fe19cd6e87942a6ee24ec8f604c0883da1b7f80d45216be35d7c9c39,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,503047,40,33209,469798,,,per_message_partial,89.62,92.65,21,False,RESET_COMPLETE,30,14,14,0,0,11,5,0,7,2,2,2,0,0,CK-EFF-FALLBACK-CI-AGENT-AFTER-EDIT,True,12,9,RESET_COMPLETE
afci-efficiency-pilot-pt01-c1-real-r3-non-reset-a2-9126f8136174,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt01-c1-real-r3-non-reset-a2-9126f8136174,2,PT01,C1,NON_RESET,3,6c938822fe19cd6e87942a6ee24ec8f604c0883da1b7f80d45216be35d7c9c39,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,664777,43,26024,638710,7936,0.4669259999999999,terminal_result,94.099,97.073,22,False,COMPLETED_NATURALLY,26,10,10,0,0,9,7,0,8,2,2,1,0,1,,,,,COMPLETED_NATURALLY
afci-efficiency-pilot-pt01-c1-real-r3-reset-a2-5e44979d48cc,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt01-c1-real-r3-reset-a2-5e44979d48cc,2,PT01,C1,RESET,3,6c938822fe19cd6e87942a6ee24ec8f604c0883da1b7f80d45216be35d7c9c39,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,511529,40,34473,477016,,,per_message_partial,73.996,77.082,21,False,RESET_COMPLETE,29,12,12,0,0,12,5,0,7,2,1,2,0,0,CK-EFF-FALLBACK-CI-AGENT-AFTER-EDIT,True,10,11,RESET_COMPLETE
afci-efficiency-pilot-pt01-c4-real-r1-non-reset-a2-c0e933c968d8,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt01-c4-real-r1-non-reset-a2-c0e933c968d8,2,PT01,C4,NON_RESET,1,6c938822fe19cd6e87942a6ee24ec8f604c0883da1b7f80d45216be35d7c9c39,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,789811,43,30694,759074,9288,0.5513352,terminal_result,107.927,110.973,22,False,COMPLETED_NATURALLY,28,11,11,0,0,8,9,0,8,4,3,1,0,0,,,,,COMPLETED_NATURALLY
afci-efficiency-pilot-pt01-c4-real-r1-reset-a2-2c255aab1046,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt01-c4-real-r1-reset-a2-2c255aab1046,2,PT01,C4,,1,6c938822fe19cd6e87942a6ee24ec8f604c0883da1b7f80d45216be35d7c9c39,,NOT_PERFORMED_DRY_RUN,CLEAN,REFUSED,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afci-efficiency-pilot-pt01-c4-real-r2-non-reset-a2-73797a3d1889,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt01-c4-real-r2-non-reset-a2-73797a3d1889,2,PT01,C4,NON_RESET,2,6c938822fe19cd6e87942a6ee24ec8f604c0883da1b7f80d45216be35d7c9c39,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,1095653,55,35679,1059919,10555,0.6905397,terminal_result,112.535,115.55,28,False,COMPLETED_NATURALLY,33,11,11,0,0,12,10,0,8,4,3,1,0,0,,,,,COMPLETED_NATURALLY
afci-efficiency-pilot-pt01-c4-real-r2-reset-a2-5d1d4c3d7c61,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt01-c4-real-r2-reset-a2-5d1d4c3d7c61,2,PT01,C4,RESET,2,6c938822fe19cd6e87942a6ee24ec8f604c0883da1b7f80d45216be35d7c9c39,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,672666,44,43323,629299,,,per_message_partial,108.435,111.479,23,False,RESET_COMPLETE,33,15,15,0,0,10,8,0,8,4,3,2,0,0,CK-EFF-FALLBACK-CI-AGENT-AFTER-EDIT,True,13,10,RESET_COMPLETE
