task_id,title,functional_category,task_status,primary_or_reserve,e1_analysis_eligibility,e1_eligibility_reason,public_task_sha256,visible_ci_command,scope_category,hidden_evaluator_package_id,hidden_evaluator_manifest_hash,leakage_validation_status
PT01,Retrieve a single order by its identifier,read-endpoint,candidate,primary,scored,carries applicable frozen dependency-direction opportunities; contributes to E1,6c938822fe19cd6e87942a6ee24ec8f604c0883da1b7f80d45216be35d7c9c39,npm run ci:agent,small,EM-PT01,stored_in_private_evaluator_repo,pass
PT02,List a customer's orders with a total count,list-endpoint,candidate,primary,scored,carries applicable frozen dependency-direction opportunities; contributes to E1,ec4b60057708b20cb95e51f000671aab40afc8c55c0bc75850922a5f65841a77,npm run ci:agent,medium,EM-PT02,stored_in_private_evaluator_repo,pass
PT03,Change the status of an existing order,write-endpoint,candidate,primary,scored,carries applicable frozen dependency-direction opportunities; contributes to E1,cbfce1ca232cb9b6b53e0b4d202d6acee7415b50af8386c1f3bd2147089b4c21,npm run ci:agent,medium,EM-PT03,stored_in_private_evaluator_repo,pass
PT04,Emit structured request and error logs for order creation,logging,candidate,primary,scored,carries applicable frozen dependency-direction opportunities; contributes to E1,f349b150b1d8fe5676fed8460b1840b988ee2bb0a78b1966ef82ae9ce9c8a9b5,npm run ci:agent,medium,EM-PT04,stored_in_private_evaluator_repo,pass
PT05,Apply an order-level volume discount to the total,calculation,candidate,primary,functional-only,valid primary functional candidate; structurally excluded from E1 by an independent pre-run opportunity reassessment because its required functional work creates no currently scored dependency-direction opportunity; a pre-run construct/feasibility reclassification decided before any benchmark or model execution and never a model outcome; not zero violations not failed not missing not invalid and not a refusal; still contributes to hidden functional acceptance cost reset-related functional outcomes and pre-registered exploratory analyses,f6efc772e76d6c287e0c71daaa93c7e1d9e62e72a1b37878df70113269ed27b3,npm run ci:agent,medium,EM-PT05,stored_in_private_evaluator_repo,pass
PT06,Return a consistent validation-error envelope for order creation,error-handling,candidate,primary,functional-only,valid primary functional candidate; structurally excluded from E1 (no applicable frozen dependency-direction opportunity demonstrated); still contributes to hidden functional acceptance cost and exploratory analyses,3e0f84cfef1f9fbf97e3cd31b6704c3a0fb172b04b5e7bc33ea39927b1c8e0f2,npm run ci:agent,medium,EM-PT06,stored_in_private_evaluator_repo,pass
PT07,Price a proposed order before it is placed,pricing-endpoint,candidate,primary,scored,intended for E1 and authored under DECISION B before any benchmark or model execution; independently reviewed before authoring as a candidate that would introduce a previously unrepresented implemented leaf/source-scope decision cluster; its private evaluator package has now been authored and linked to the approved public hash and has itself been INDEPENDENTLY REVIEWED AND APPROVED in an external read-only review (verdict APPROVE; P0=0 P1=0 P2=6 with all six P2 hardening items implemented) and that approval is now propagated into the private governance record; package approval is NOT a freeze and NOT a gate pass so PRE-FREEZE and NOT yet enterable into E1: the manifest remains status=review / not_yet_frozen; gate G1 is not passed; PT07 is not yet E1 run-eligible; eligibility stays subject to private evaluator validation of the hidden acceptance suite and to an explicit freeze of a non-zero frozen opportunity set before any run (TD-B05/TD-B14/TD-B32/TD-B34); never derived from an observed outcome because no benchmark or model execution has occurred,557caed09420354efbc823c8b72e54b0760ac72847aba0d9c07d99e37ff7d2d7,npm run ci:agent,medium,EM-PT07,stored_in_private_evaluator_repo,pass
PT08,Apply a caller-declared maximum total to order creation,write-endpoint,candidate,primary,scored,intended for E1 and authored under the re-scoped DECISION B / TD-B34 as the priority-A replication instrument before any benchmark or model execution; its candidate design contract pins and forcing class were independently reviewed and the candidate was independently approved for public authoring before any prose existed; the independent public-authoring review of this body has since PASSED; its private evaluator package has since been AUTHORED and APPROVED on a discharged conditional independent review; and a separately recorded governance admission step then admitted its architecture opportunity to the active E1 denominator and the active decision-cluster register - it adds ONE active applicable opportunity which is an instrument count and never a violation a success or a result; STILL PRE-FREEZE and NOT yet enterable into an actual E1 run: the manifest is status=review and NOT frozen; the hidden functional acceptance scaffold is draft_unvalidated and NOT runtime-validated; gate G1 is not passed and PT08 is not run-ready; eligibility stays subject to validation of that hidden acceptance and to an explicit freeze of a non-zero frozen opportunity set before any run (TD-B05/TD-B14/TD-B32/TD-B34); records intent only and never a demonstrated denominator; never derived from an observed outcome because no benchmark or model execution has occurred,a31bb515b79cc1e211a662de2a8761c97082dd8bf266ee5b4f660981435badf2,npm run ci:agent,medium,EM-PT08,stored_in_private_evaluator_repo,pass
PR01,Guarantee cent-exact order totals for fractional unit prices,calculation,candidate,reserve,inactive-reserve,pre-declared reserve; not activated; contributes to no endpoint,0e1527bce41498836bb57b802d4566251d6fcfed4cca13fe59e6a97330f02302,npm run ci:agent,small,EM-PR01,stored_in_private_evaluator_repo,pass
PR02,Cancel an order with terminal-state guards,write-endpoint,candidate,reserve,inactive-reserve,pre-declared reserve; not activated and blocked from promotion because its terminal-state completion criterion is not externally reachable at the source substrate (TD-B26),e89a4aab236813c082f9152db779b8bbfb298148a51a8435a1e2bf38330caa83,npm run ci:agent,medium,EM-PR02,stored_in_private_evaluator_repo,pass
