experiment_id,execution_attempt,sequence,run_id,task,model,condition,reset_state,repetition,run_purpose,functional_valid,semantic_pass,semantic_fail,architecture_applicable,architecture_violated,raw_architecture_violations,total_input_tokens,input_tokens,cache_creation_input_tokens,cache_read_input_tokens,total_output_tokens,model_wall_seconds,total_run_seconds,provider_cost_usd,total_tool_calls,exploration_calls,read_calls,grep_calls,glob_calls,bash_calls,edit_calls,write_calls,unique_files_read,unique_files_modified,files_reedited,ci_command_runs,test_command_runs,lines_added,lines_removed,net_lines,checkpoint_status,max_turn_status,run_status,eligible_for_analysis,reason_if_excluded,artifact_path,evidence_hash_if_available,notes
V1_ORIGINAL,1,,v1-T01-afci,T01,Opus 7,C_AFCI,NON_RESET,1,V1_ORIGINAL_STUDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,95,233,,,COMPLETE,false,"v1 is historical/exploratory evidence: harness did not invoke the model, runs accumulate monotonically (non-independent), AFCI-Guard non-functional, layer_jaccard degenerate, no hidden acceptance oracle. Not confirmatory v2 evidence.",git:rerun-v1-opus7-artifacts:experiments/runs_v1/T01/afci/,,"v1_condition_label=afci; ci_pass=True; delta_loc_code=156; delta_loc_test=77; delta_tests=5; code_churn=346; test_churn=77; files_changed=4; layer_jaccard=1.0 (DEGENERATE, constant 1.0, L5); AFCI-Guard reported 0 violations but is NON-FUNCTIONAL (L3) — architecture columns left blank, NOT zero"
V1_ORIGINAL,1,,v1-T01-afci_reset,T01,Opus 7,C_AFCI,RESET,1,V1_ORIGINAL_STUDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,552,90,462,,,COMPLETE,false,"v1 is historical/exploratory evidence: harness did not invoke the model, runs accumulate monotonically (non-independent), AFCI-Guard non-functional, layer_jaccard degenerate, no hidden acceptance oracle. Not confirmatory v2 evidence.",git:rerun-v1-opus7-artifacts:experiments/runs_v1/T01/afci_reset/,,"v1_condition_label=afci_reset; ci_pass=True; delta_loc_code=176; delta_loc_test=286; delta_tests=15; code_churn=354; test_churn=288; files_changed=6; layer_jaccard=1.0 (DEGENERATE, constant 1.0, L5); AFCI-Guard reported 0 violations but is NON-FUNCTIONAL (L3) — architecture columns left blank, NOT zero"
V1_ORIGINAL,1,,v1-T01-baseline,T01,Opus 7,C_BASELINE,NON_RESET,1,V1_ORIGINAL_STUDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,78,218,,,COMPLETE,false,"v1 is historical/exploratory evidence: harness did not invoke the model, runs accumulate monotonically (non-independent), AFCI-Guard non-functional, layer_jaccard degenerate, no hidden acceptance oracle. Not confirmatory v2 evidence.",git:rerun-v1-opus7-artifacts:experiments/runs_v1/T01/baseline/,,"v1_condition_label=baseline; ci_pass=True; delta_loc_code=165; delta_loc_test=53; delta_tests=4; code_churn=321; test_churn=53; files_changed=4; layer_jaccard=1.0 (DEGENERATE, constant 1.0, L5); AFCI-Guard reported 0 violations but is NON-FUNCTIONAL (L3) — architecture columns left blank, NOT zero"
V1_ORIGINAL,1,,v1-T01-baseline_reset,T01,Opus 7,C_BASELINE,RESET,1,V1_ORIGINAL_STUDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,77,367,,,COMPLETE,false,"v1 is historical/exploratory evidence: harness did not invoke the model, runs accumulate monotonically (non-independent), AFCI-Guard non-functional, layer_jaccard degenerate, no hidden acceptance oracle. Not confirmatory v2 evidence.",git:rerun-v1-opus7-artifacts:experiments/runs_v1/T01/baseline_reset/,,"v1_condition_label=baseline_reset; ci_pass=True; delta_loc_code=152; delta_loc_test=215; delta_tests=10; code_churn=304; test_churn=217; files_changed=5; layer_jaccard=1.0 (DEGENERATE, constant 1.0, L5); AFCI-Guard reported 0 violations but is NON-FUNCTIONAL (L3) — architecture columns left blank, NOT zero"
V1_ORIGINAL,1,,v1-T02-afci,T02,Opus 7,C_AFCI,NON_RESET,1,V1_ORIGINAL_STUDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,559,96,463,,,COMPLETE,false,"v1 is historical/exploratory evidence: harness did not invoke the model, runs accumulate monotonically (non-independent), AFCI-Guard non-functional, layer_jaccard degenerate, no hidden acceptance oracle. Not confirmatory v2 evidence.",git:rerun-v1-opus7-artifacts:experiments/runs_v1/T02/afci/,,"v1_condition_label=afci; ci_pass=True; delta_loc_code=325; delta_loc_test=138; delta_tests=9; code_churn=517; test_churn=138; files_changed=8; layer_jaccard=1.0 (DEGENERATE, constant 1.0, L5); AFCI-Guard reported 0 violations but is NON-FUNCTIONAL (L3) — architecture columns left blank, NOT zero"
V1_ORIGINAL,1,,v1-T02-afci_reset,T02,Opus 7,C_AFCI,RESET,1,V1_ORIGINAL_STUDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,89,248,,,COMPLETE,false,"v1 is historical/exploratory evidence: harness did not invoke the model, runs accumulate monotonically (non-independent), AFCI-Guard non-functional, layer_jaccard degenerate, no hidden acceptance oracle. Not confirmatory v2 evidence.",git:rerun-v1-opus7-artifacts:experiments/runs_v1/T02/afci_reset/,,"v1_condition_label=afci_reset; ci_pass=True; delta_loc_code=161; delta_loc_test=87; delta_tests=6; code_churn=337; test_churn=89; files_changed=8; layer_jaccard=1.0 (DEGENERATE, constant 1.0, L5); AFCI-Guard reported 0 violations but is NON-FUNCTIONAL (L3) — architecture columns left blank, NOT zero"
V1_ORIGINAL,1,,v1-T02-baseline,T02,Opus 7,C_BASELINE,NON_RESET,1,V1_ORIGINAL_STUDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,463,79,384,,,COMPLETE,false,"v1 is historical/exploratory evidence: harness did not invoke the model, runs accumulate monotonically (non-independent), AFCI-Guard non-functional, layer_jaccard degenerate, no hidden acceptance oracle. Not confirmatory v2 evidence.",git:rerun-v1-opus7-artifacts:experiments/runs_v1/T02/baseline/,,"v1_condition_label=baseline; ci_pass=True; delta_loc_code=279; delta_loc_test=105; delta_tests=8; code_churn=437; test_churn=105; files_changed=9; layer_jaccard=1.0 (DEGENERATE, constant 1.0, L5); AFCI-Guard reported 0 violations but is NON-FUNCTIONAL (L3) — architecture columns left blank, NOT zero"
V1_ORIGINAL,1,,v1-T02-baseline_reset,T02,Opus 7,C_BASELINE,RESET,1,V1_ORIGINAL_STUDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,90,240,,,COMPLETE,false,"v1 is historical/exploratory evidence: harness did not invoke the model, runs accumulate monotonically (non-independent), AFCI-Guard non-functional, layer_jaccard degenerate, no hidden acceptance oracle. Not confirmatory v2 evidence.",git:rerun-v1-opus7-artifacts:experiments/runs_v1/T02/baseline_reset/,,"v1_condition_label=baseline_reset; ci_pass=True; delta_loc_code=155; delta_loc_test=85; delta_tests=6; code_churn=333; test_churn=87; files_changed=8; layer_jaccard=1.0 (DEGENERATE, constant 1.0, L5); AFCI-Guard reported 0 violations but is NON-FUNCTIONAL (L3) — architecture columns left blank, NOT zero"
V1_ORIGINAL,1,,v1-T03-afci,T03,Opus 7,C_AFCI,NON_RESET,1,V1_ORIGINAL_STUDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,562,145,417,,,COMPLETE,false,"v1 is historical/exploratory evidence: harness did not invoke the model, runs accumulate monotonically (non-independent), AFCI-Guard non-functional, layer_jaccard degenerate, no hidden acceptance oracle. Not confirmatory v2 evidence.",git:rerun-v1-opus7-artifacts:experiments/runs_v1/T03/afci/,,"v1_condition_label=afci; ci_pass=True; delta_loc_code=279; delta_loc_test=138; delta_tests=9; code_churn=569; test_churn=138; files_changed=8; layer_jaccard=1.0 (DEGENERATE, constant 1.0, L5); AFCI-Guard reported 0 violations but is NON-FUNCTIONAL (L3) — architecture columns left blank, NOT zero"
V1_ORIGINAL,1,,v1-T03-afci_reset,T03,Opus 7,C_AFCI,RESET,1,V1_ORIGINAL_STUDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,175,-68,,,COMPLETE,false,"v1 is historical/exploratory evidence: harness did not invoke the model, runs accumulate monotonically (non-independent), AFCI-Guard non-functional, layer_jaccard degenerate, no hidden acceptance oracle. Not confirmatory v2 evidence.",git:rerun-v1-opus7-artifacts:experiments/runs_v1/T03/afci_reset/,,"v1_condition_label=afci_reset; ci_pass=True; delta_loc_code=-67; delta_loc_test=-1; delta_tests=0; code_churn=279; test_churn=3; files_changed=6; layer_jaccard=1.0 (DEGENERATE, constant 1.0, L5); AFCI-Guard reported 0 violations but is NON-FUNCTIONAL (L3) — architecture columns left blank, NOT zero"
