task_id,condition,delta_loc_code,delta_loc_test,delta_tests,code_additions,code_deletions,test_additions,test_deletions,ci_pass,layer_jaccard,files_changed_count
T01,afci,156,77,5,251,95,77,0,True,1.0,4
T01,afci_reset,176,286,15,265,89,287,1,True,1.0,6
T01,baseline,165,53,4,243,78,53,0,True,1.0,4
T01,baseline_reset,152,215,10,228,76,216,1,True,1.0,5
T02,afci,325,138,9,421,96,138,0,True,1.0,8
T02,afci_reset,161,87,6,249,88,88,1,True,1.0,8
T02,baseline,279,105,8,358,79,105,0,True,1.0,9
T02,baseline_reset,155,85,6,244,89,86,1,True,1.0,8
T03,afci,279,138,9,424,145,138,0,True,1.0,8
T03,afci_reset,-67,-1,0,106,173,1,2,True,1.0,6
T03,baseline,271,105,8,384,113,105,0,True,1.0,9
T03,baseline_reset,-70,-1,0,110,180,1,2,True,1.0,7
T04,afci,451,142,9,597,146,142,0,True,1.0,11
T04,afci_reset,3,2,0,75,72,2,0,True,1.0,7
T04,baseline,284,107,8,398,114,107,0,True,1.0,9
T04,baseline_reset,4,3,0,77,73,3,0,True,1.0,8
T05,afci,507,182,13,656,149,183,1,True,1.0,13
T05,afci_reset,-3,19,3,70,73,19,0,True,1.0,3
T05,baseline,286,128,11,402,116,128,0,True,1.0,10
T05,baseline_reset,-3,35,5,72,75,35,0,True,1.0,3
T06,afci,575,215,15,725,150,216,1,True,1.0,14
T06,afci_reset,23,54,2,96,73,54,0,True,1.0,3
T06,baseline,302,145,12,418,116,145,0,True,1.0,10
T06,baseline_reset,8,42,2,81,73,42,0,True,1.0,3
T07,afci,606,266,19,772,166,267,1,True,1.0,15
T07,afci_reset,7,27,7,84,77,27,0,True,1.0,5
T07,baseline,278,173,14,410,132,173,0,True,1.0,10
T07,baseline_reset,11,22,4,88,77,22,0,True,1.0,5
T08,afci,656,266,19,825,169,267,1,True,1.0,16
T08,afci_reset,-11,0,0,68,79,0,0,True,1.0,2
T08,baseline,271,173,14,410,139,173,0,True,1.0,10
T08,baseline_reset,-11,0,0,68,79,0,0,True,1.0,2
T09,afci,897,336,23,1066,169,337,1,True,1.0,17
T09,afci_reset,232,146,8,330,98,147,1,True,1.0,8
T09,baseline,400,222,18,539,139,222,0,True,1.0,10
T09,baseline_reset,212,239,12,299,87,240,1,True,1.0,6
T10,afci,985,348,24,1156,171,349,1,True,1.0,18
T10,afci_reset,-19,24,2,161,180,63,39,True,1.0,8
T10,baseline,433,255,22,573,140,256,1,True,1.0,10
T10,baseline_reset,50,13,1,137,87,35,22,True,1.0,8
T11,afci,1181,384,27,1352,171,385,1,True,1.0,19
T11,afci_reset,217,154,11,314,97,155,1,True,1.0,8
T11,baseline,524,283,25,664,140,284,1,True,1.0,10
T11,baseline_reset,240,266,17,337,97,268,2,True,1.0,9
T12,afci,1247,414,28,1420,173,418,4,True,1.0,20
T12,afci_reset,336,264,15,427,91,270,6,True,1.0,6
T12,baseline,532,317,29,673,141,318,1,True,1.0,10
T12,baseline_reset,293,270,15,393,100,276,6,True,1.0,6
