task_id,checkpoint_id,trigger_type,condition_neutral,checkpoint_definition,expected_progress_fraction,preserved_state,process_transition,reset_context_by_condition,total_budget,pre_reset_allowance,pre_reset_consumed,post_reset_allowance,post_reset_consumed,status,owner,notes
TASK-TEMPLATE-A,CK-TEMPLATE-A1,functional-worktree-progress (preferred),yes,TODO TD-B01: externally-detectable task-specific functional/worktree progress reached (condition-neutral; requires NO canonical layer/file-path/architecture),TODO TD-B01,partially modified repository working tree + approved state metadata only,terminate first process; start new process; no --continue/--resume/--from-pr/reused --session-id,C1: task only; C2: task + token-matched generic guidance; C3: persistent instruction file remains; C4: MAD re-injected as primary + task secondary,TODO TD-B11 (equal for reset and non-reset),TODO TD-B01/TD-B11 (frozen pre-reset allowance),observational only (actual pre-reset consumption; may be < pre_reset_allowance; never transfers),TODO TD-B11 (frozen; equal across conditions; = total_budget - pre_reset_allowance),observational only (actual post-reset consumption),TODO,Pilot Task Designer,preferred condition-neutral checkpoint; value unresolved until pilot task design
TASK-TEMPLATE-B,CK-TEMPLATE-B1,first-visible-validation-attempt (fallback),yes,TODO TD-B01: first visible validation attempt (first npm run ci:agent) after at least one edit (condition-neutral),TODO TD-B01,partially modified repository working tree + approved state metadata only,terminate first process; start new process; no --continue/--resume/--from-pr/reused --session-id,C1: task only; C2: task + token-matched generic guidance; C3: persistent instruction file remains; C4: MAD re-injected as primary + task secondary,TODO TD-B11 (equal for reset and non-reset),TODO TD-B01/TD-B11 (frozen pre-reset allowance),observational only (actual pre-reset consumption; may be < pre_reset_allowance; never transfers),TODO TD-B11 (frozen; equal across conditions; = total_budget - pre_reset_allowance),observational only (actual post-reset consumption),TODO,Pilot Task Designer,fallback condition-neutral checkpoint; used when functional/worktree progress is not cleanly detectable; unresolved until pilot task design
PT01,withheld_pending_TD-B01,withheld_pending_TD-B01,yes,withheld_pending_TD-B01 (condition-neutral predicate drafted in the private evaluator repository; requires NO canonical layer/file-path/architecture),withheld_pending_TD-B01,partially modified repository working tree + approved state metadata only,terminate first process; start new process; no --continue/--resume/--from-pr/reused --session-id,C1: task only; C2: task + token-matched generic guidance; C3: persistent instruction file remains; C4: MAD re-injected as primary + task secondary,withheld_pending_TD-B11,withheld_pending_TD-B01/TD-B11,observational only,withheld_pending_TD-B11,observational only,TODO,Pilot Task Designer,per-candidate row; predicate contents withheld (private); reset is an experimental factor crossed with this task not a property of its subject matter
PT02,withheld_pending_TD-B01,withheld_pending_TD-B01,yes,withheld_pending_TD-B01 (condition-neutral predicate drafted in the private evaluator repository; requires NO canonical layer/file-path/architecture),withheld_pending_TD-B01,partially modified repository working tree + approved state metadata only,terminate first process; start new process; no --continue/--resume/--from-pr/reused --session-id,C1: task only; C2: task + token-matched generic guidance; C3: persistent instruction file remains; C4: MAD re-injected as primary + task secondary,withheld_pending_TD-B11,withheld_pending_TD-B01/TD-B11,observational only,withheld_pending_TD-B11,observational only,TODO,Pilot Task Designer,per-candidate row; predicate contents withheld (private); reset is an experimental factor crossed with this task not a property of its subject matter
PT03,withheld_pending_TD-B01,withheld_pending_TD-B01,yes,withheld_pending_TD-B01 (condition-neutral predicate drafted in the private evaluator repository; requires NO canonical layer/file-path/architecture),withheld_pending_TD-B01,partially modified repository working tree + approved state metadata only,terminate first process; start new process; no --continue/--resume/--from-pr/reused --session-id,C1: task only; C2: task + token-matched generic guidance; C3: persistent instruction file remains; C4: MAD re-injected as primary + task secondary,withheld_pending_TD-B11,withheld_pending_TD-B01/TD-B11,observational only,withheld_pending_TD-B11,observational only,TODO,Pilot Task Designer,per-candidate row; predicate contents withheld (private); checkpoint review must follow the PT03 repeat-request amendment (TD-B25)
PT04,withheld_pending_TD-B01,withheld_pending_TD-B01,yes,withheld_pending_TD-B01 (condition-neutral predicate drafted in the private evaluator repository; requires NO canonical layer/file-path/architecture),withheld_pending_TD-B01,partially modified repository working tree + approved state metadata only,terminate first process; start new process; no --continue/--resume/--from-pr/reused --session-id,C1: task only; C2: task + token-matched generic guidance; C3: persistent instruction file remains; C4: MAD re-injected as primary + task secondary,withheld_pending_TD-B11,withheld_pending_TD-B01/TD-B11,observational only,withheld_pending_TD-B11,observational only,TODO,Pilot Task Designer,per-candidate row; predicate contents withheld (private); reset is an experimental factor crossed with this task not a property of its subject matter
PT05,withheld_pending_TD-B01,withheld_pending_TD-B01,yes,withheld_pending_TD-B01 (condition-neutral predicate drafted in the private evaluator repository; requires NO canonical layer/file-path/architecture),withheld_pending_TD-B01,partially modified repository working tree + approved state metadata only,terminate first process; start new process; no --continue/--resume/--from-pr/reused --session-id,C1: task only; C2: task + token-matched generic guidance; C3: persistent instruction file remains; C4: MAD re-injected as primary + task secondary,withheld_pending_TD-B11,withheld_pending_TD-B01/TD-B11,observational only,withheld_pending_TD-B11,observational only,TODO,Pilot Task Designer,per-candidate row; predicate contents withheld (private); reset is an experimental factor crossed with this task not a property of its subject matter
PT06,withheld_pending_TD-B01,withheld_pending_TD-B01,yes,withheld_pending_TD-B01 (condition-neutral predicate drafted in the private evaluator repository; requires NO canonical layer/file-path/architecture),withheld_pending_TD-B01,partially modified repository working tree + approved state metadata only,terminate first process; start new process; no --continue/--resume/--from-pr/reused --session-id,C1: task only; C2: task + token-matched generic guidance; C3: persistent instruction file remains; C4: MAD re-injected as primary + task secondary,withheld_pending_TD-B11,withheld_pending_TD-B01/TD-B11,observational only,withheld_pending_TD-B11,observational only,TODO,Pilot Task Designer,per-candidate row; predicate contents withheld (private); PT06 is functional-only for E1 and provides no unique reset-continuation coverage - retained primary tasks already carry condition-neutral checkpoints so PT06 must not stay in E1 to satisfy a reset bookkeeping label
PT07,withheld_pending_TD-B01,withheld_pending_TD-B01,yes,withheld_pending_TD-B01 (condition-neutral predicate NOT yet drafted for PT07 - no private reset implementation exists for it; requires NO canonical layer/file-path/architecture; must be stated as externally observable functional/worktree progress and must not rely on any assertion about internal persistence),withheld_pending_TD-B01,partially modified repository working tree + approved state metadata only,terminate first process; start new process; no --continue/--resume/--from-pr/reused --session-id,C1: task only; C2: task + token-matched generic guidance; C3: persistent instruction file remains; C4: MAD re-injected as primary + task secondary,withheld_pending_TD-B11,withheld_pending_TD-B01/TD-B11,observational only,withheld_pending_TD-B11,observational only,TODO,Pilot Task Designer,per-candidate row; predicate contents withheld (private) and not yet drafted; reset is an experimental factor crossed with this task not a property of its subject matter
PT08,withheld_pending_TD-B01,withheld_pending_TD-B01,yes,withheld_pending_TD-B01 (condition-neutral predicate NOT yet drafted for PT08 - no private reset implementation exists for it; requires NO canonical layer/file-path/architecture; must be stated as externally observable functional/worktree progress and must not rely on any assertion about internal persistence),withheld_pending_TD-B01,partially modified repository working tree + approved state metadata only,terminate first process; start new process; no --continue/--resume/--from-pr/reused --session-id,C1: task only; C2: task + token-matched generic guidance; C3: persistent instruction file remains; C4: MAD re-injected as primary + task secondary,withheld_pending_TD-B11,withheld_pending_TD-B01/TD-B11,observational only,withheld_pending_TD-B11,observational only,TODO,Pilot Task Designer,per-candidate row; predicate contents withheld (private) and not yet drafted; reset is an experimental factor crossed with this task not a property of its subject matter
PR01,withheld_pending_TD-B01,withheld_pending_TD-B01,yes,withheld_pending_TD-B01 (condition-neutral predicate drafted in the private evaluator repository; requires NO canonical layer/file-path/architecture),withheld_pending_TD-B01,partially modified repository working tree + approved state metadata only,terminate first process; start new process; no --continue/--resume/--from-pr/reused --session-id,C1: task only; C2: task + token-matched generic guidance; C3: persistent instruction file remains; C4: MAD re-injected as primary + task secondary,withheld_pending_TD-B11,withheld_pending_TD-B01/TD-B11,observational only,withheld_pending_TD-B11,observational only,TODO,Pilot Task Designer,per-candidate row; inactive reserve - not activated so no checkpoint is exercised; predicate contents withheld (private)
