artifact_id,artifact,path_template,schema,producer,consumer,hashed_in_manifest,required,retention,status,notes
ART-AUDIT,context_audit.json,experiments/v2/results/<run_id>/context_audit.json,experiments/v2/schemas/context_audit.schema.json,context_audit.py,run_manifest,yes,yes,frozen,active,produced and enforced today (fail-closed isolation audit)
ART-MANIFEST,run_manifest.json,experiments/v2/results/<run_id>/run_manifest.json,experiments/v2/schemas/run_manifest.schema.json,experimental runner (TD-B02),analysis,self,yes,frozen,schema-defined; producer pending,top-level per-run record linking all artifacts; records agent_visible_ci (ci:agent only; architecture + hidden checks excluded) and separated pre_reset_consumed vs equal post_reset_allowance budgets
ART-ORACLE,oracle_result.json,experiments/v2/results/<run_id>/oracle_result.json,experiments/v2/schemas/oracle_result.schema.json,conformance oracle (TD-B04; TD-B12),run_manifest; analysis,yes,yes,frozen,schema-defined; reference checker implemented (dependency-direction),direct architectural-conformance metric (CON-AC); assembled from architecture_finding.json after blind scoring
ART-ACCEPT,acceptance_result.json,experiments/v2/results/<run_id>/acceptance_result.json,experiments/v2/schemas/acceptance_result.schema.json,acceptance oracle (TD-B05),run_manifest; analysis,yes,yes,frozen,schema-defined; producer pending,direct task-completeness metric (CON-TC)
ART-GUARD,guard_result.json,experiments/v2/results/<run_id>/guard_result.json,experiments/v2/schemas/guard_result.schema.json,AFCI guard (TD-B12),run_manifest; analysis,yes,yes,frozen,schema-defined; producer pending,alias-aware guard; validated before use (G6)
ART-PATCH,patch.diff,experiments/v2/results/<run_id>/patch.diff,n/a (unified diff vs base_sha),experimental runner (TD-B02),oracle; acceptance; guard,yes,yes,frozen,schema-defined; producer pending,the model change under evaluation
ART-LAUNCH,launch_manifest.json,experiments/v2/results/<run_id>/launch_manifest.json,validated by context_audit.load_launch_manifest,experimental runner (TD-B02),context_audit,yes,yes,frozen,active-validator; producer pending,exact Claude launch argv (no secret values recorded)
ART-PROMPTS,prompt artifacts (system/task/injected/reset),experiments/v2/results/<run_id>/prompts/,hashed via run_manifest.prompt_hashes,experimental runner (TD-B02),context_audit; analysis,yes (hashes),yes,retention per policy,schema-defined; producer pending,prompts recorded by hash; raw retention per data policy
ART-RUNLOG,model output log (stream-json/json),experiments/v2/results/<run_id>/run_output.jsonl,n/a (provider output format),Claude CLI,run_manifest (tokens/time/iterations),yes,yes,frozen,schema-defined; producer pending,source of tokens; time; iterations; resolved model id
ART-FINDING,architecture_finding.json,experiments/v2/results/<run_id>/architecture_finding.json,experiments/v2/schemas/architecture_finding.schema.json,v2 architecture oracle (TD-B04; TD-B12),oracle_result; analysis,yes,yes,frozen,schema-defined; reference checker implemented,raw blind oracle output; no condition/model; assembled into oracle_result.json
ART-EVALMANIFEST,evaluator_manifest.json,external evaluator mount (outside coding worktree),experiments/v2/schemas/evaluator_manifest.schema.json,Oracle Designer (TD-B04; TD-B05),oracle; guard,yes (hashes only),yes,frozen,template committed; task manifests hidden,mounted outside worktree; hashes in run_manifest.evaluator_mount
