labels,sequence,slot,task_id,repetition,execution_attempt,run_id,condition,disposition,failure_class,task_delivered,observation_valid,functional_valid,semantic_passed,semantic_total,architecture_applicable_opportunities,architecture_violated_opportunities,target_violation,max_turns_reached,turns_used,permission_denials,cost_usd,total_input_tokens,total_output_tokens,model_wall_seconds,model_resolved,effort_readback,session_id_present
instrument qualification; C1-only; pre-treatment; not AFCI treatment evidence,1,Q2,BTQ-T5,1,1,afci-bq-btq-t5-c1-real-r1-non-reset-a1-1320fbbff9c1,C1,SCIENTIFIC_OBSERVATION,,True,True,True,5,5,1,1,True,True,96,2,2.4644601,5142862,28842,864.342,claude-sonnet-5,VALIDATED,True
instrument qualification; C1-only; pre-treatment; not AFCI treatment evidence,2,Q1,BTQ-T1R,1,1,afci-bq-btq-t1r-c1-real-r1-non-reset-a1-47df72df5f9c,C1,SCIENTIFIC_OBSERVATION,,True,True,True,4,4,1,0,False,False,67,0,2.0095350000000005,4145601,21599,790.953,claude-sonnet-5,VALIDATED,True
instrument qualification; C1-only; pre-treatment; not AFCI treatment evidence,3,Q2,BTQ-T5,3,1,afci-bq-btq-t5-c1-real-r3-non-reset-a1-83b08e0e9b50,C1,SCIENTIFIC_OBSERVATION,,True,True,True,5,5,1,1,True,False,96,2,2.5325670000000002,5393055,31658,997.345,claude-sonnet-5,VALIDATED,True
instrument qualification; C1-only; pre-treatment; not AFCI treatment evidence,4,Q1,BTQ-T1R,2,1,afci-bq-btq-t1r-c1-real-r2-non-reset-a1-82edede5f386,C1,SCIENTIFIC_OBSERVATION,,True,True,True,4,4,1,0,False,False,59,2,1.4673002999999998,2803331,20455,898.632,claude-sonnet-5,VALIDATED,True
instrument qualification; C1-only; pre-treatment; not AFCI treatment evidence,5,Q3,BTQ-C02,3,1,afci-bq-btq-c02-c1-real-r3-non-reset-a1-c9890331d9a7,C1,SCIENTIFIC_OBSERVATION,,True,True,True,4,4,1,0,False,False,57,3,1.2622922999999997,2452533,14129,1307.857,claude-sonnet-5,VALIDATED,True
instrument qualification; C1-only; pre-treatment; not AFCI treatment evidence,6,Q4,BTQ-C04,2,1,afci-bq-btq-c04-c1-real-r2-non-reset-a1-a70eb850c229,C1,SCIENTIFIC_OBSERVATION,,True,True,True,4,4,1,0,False,False,79,23,2.8820298,5554387,46111,848.95,claude-sonnet-5,VALIDATED,True
instrument qualification; C1-only; pre-treatment; not AFCI treatment evidence,7,Q5,BTQ-C05,1,1,afci-bq-btq-c05-c1-real-r1-non-reset-a1-ff81fe759ad6,C1,SCIENTIFIC_OBSERVATION,,True,True,True,4,4,1,0,False,False,84,10,3.4639908000000004,7406510,37622,1136.501,claude-sonnet-5,VALIDATED,True
instrument qualification; C1-only; pre-treatment; not AFCI treatment evidence,8,Q3,BTQ-C02,2,1,afci-bq-btq-c02-c1-real-r2-non-reset-a1-c1ab024f2ec4,C1,INFRASTRUCTURE_INVALID,WORKSPACE_PREPARATION_FAILED,False,False,,,,,,,,,,0.0,,,,,,
instrument qualification; C1-only; pre-treatment; not AFCI treatment evidence,9,Q2,BTQ-T5,2,1,afci-bq-btq-t5-c1-real-r2-non-reset-a1-40004c10a9b9,C1,SCIENTIFIC_OBSERVATION,,True,True,True,5,5,1,1,True,True,96,6,2.8651124999999995,6120555,33857,972.3,claude-sonnet-5,VALIDATED,True
instrument qualification; C1-only; pre-treatment; not AFCI treatment evidence,10,Q5,BTQ-C05,3,1,afci-bq-btq-c05-c1-real-r3-non-reset-a1-528dee72f4e8,C1,SCIENTIFIC_OBSERVATION,,True,True,True,4,4,1,0,False,False,78,4,2.3535519,4776273,25803,821.994,claude-sonnet-5,VALIDATED,True
instrument qualification; C1-only; pre-treatment; not AFCI treatment evidence,11,Q4,BTQ-C04,1,1,afci-bq-btq-c04-c1-real-r1-non-reset-a1-ce274356dbfd,C1,SCIENTIFIC_OBSERVATION,,True,True,True,4,4,1,0,False,False,65,3,2.303033399999999,4284250,36271,1069.018,claude-sonnet-5,VALIDATED,True
instrument qualification; C1-only; pre-treatment; not AFCI treatment evidence,12,Q5,BTQ-C05,2,1,afci-bq-btq-c05-c1-real-r2-non-reset-a1-92c2397397d8,C1,SCIENTIFIC_OBSERVATION,,True,True,True,4,4,1,0,False,False,96,9,3.403689900000001,7429432,38854,1094.978,claude-sonnet-5,VALIDATED,True
instrument qualification; C1-only; pre-treatment; not AFCI treatment evidence,13,Q1,BTQ-T1R,3,1,afci-bq-btq-t1r-c1-real-r3-non-reset-a1-b99d5fae56d9,C1,SCIENTIFIC_OBSERVATION,,True,True,True,4,4,1,0,False,False,54,2,1.3522148999999999,2605088,17306,684.42,claude-sonnet-5,VALIDATED,True
instrument qualification; C1-only; pre-treatment; not AFCI treatment evidence,14,Q4,BTQ-C04,3,1,afci-bq-btq-c04-c1-real-r3-non-reset-a1-ec1b6502e110,C1,SCIENTIFIC_OBSERVATION,,True,True,True,4,4,1,0,False,False,60,1,1.6946648999999996,3179044,25351,704.065,claude-sonnet-5,VALIDATED,True
instrument qualification; C1-only; pre-treatment; not AFCI treatment evidence,15,Q3,BTQ-C02,1,1,afci-bq-btq-c02-c1-real-r1-non-reset-a1-4d4060093c81,C1,SCIENTIFIC_OBSERVATION,,True,True,True,4,4,1,0,False,True,96,9,2.0686470000000003,4318783,26381,1263.089,claude-sonnet-5,VALIDATED,True
instrument qualification; C1-only; pre-treatment; not AFCI treatment evidence,8,Q3,BTQ-C02,2,2,afci-bq-btq-c02-c1-real-r2-non-reset-a2-839d3f56c33f,C1,SCIENTIFIC_OBSERVATION,,True,True,True,4,4,1,0,False,False,78,4,1.5948654,3121232,17979,1206.394,claude-sonnet-5,VALIDATED,True
