task_id,baseline_codechurn_nonreset,baseline_codechurn_reset,baseline_drift_codechurn,afci_codechurn_nonreset,afci_codechurn_reset,afci_drift_codechurn,drift_advantage_codechurn,baseline_drift_testchurn,afci_drift_testchurn,drift_advantage_testchurn
T01,321,304,17,346,354,8,9,164,211,-47
T02,437,333,104,517,337,180,-76,18,49,-31
T03,497,290,207,569,279,290,-83,102,135,-33
T04,512,150,362,743,147,596,-234,104,140,-36
T05,518,147,371,805,143,662,-291,93,165,-72
T06,534,154,380,875,169,706,-326,103,163,-60
T07,542,165,377,938,161,777,-400,151,241,-90
T08,549,147,402,994,147,847,-445,173,268,-95
T09,678,386,292,1235,428,807,-515,19,190,-171
T10,713,224,489,1327,341,986,-497,200,248,-48
T11,804,434,370,1523,411,1112,-742,15,230,-215
T12,814,493,321,1593,518,1075,-754,37,146,-109
