task_id,required_layers,optional_layers,prohibited_layers,layer_taxonomy_ref,evidence_location,status,owner,notes
TASK-TEMPLATE-A,TODO TD-B14 (e.g. domain; application),TODO TD-B14 (e.g. interface-adapters),TODO TD-B14 (e.g. infrastructure for a domain-only task),nx project scope tags (tsconfig.base.json @afci-bench/* aliases),experiments/v2/results/<run_id>/oracle_result.json,TODO,Task Designer,template row; layer taxonomy derives from nx scope tags; values unresolved
TASK-TEMPLATE-B,TODO TD-B14,TODO TD-B14,TODO TD-B14,nx project scope tags (tsconfig.base.json @afci-bench/* aliases),experiments/v2/results/<run_id>/oracle_result.json,TODO,Task Designer,template row; second task placeholder; unresolved
PT01,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,nx project scope tags (tsconfig.base.json @afci-bench/* aliases),experiments/v2/results/<run_id>/oracle_result.json,candidate-not-frozen,Task Designer,public row; expected/optional/prohibited areas withheld; stored in private evaluator repo; TD-B14
PT02,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,nx project scope tags (tsconfig.base.json @afci-bench/* aliases),experiments/v2/results/<run_id>/oracle_result.json,candidate-not-frozen,Task Designer,public row; expected/optional/prohibited areas withheld; stored in private evaluator repo; TD-B14
PT03,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,nx project scope tags (tsconfig.base.json @afci-bench/* aliases),experiments/v2/results/<run_id>/oracle_result.json,candidate-not-frozen,Task Designer,public row; expected/optional/prohibited areas withheld; stored in private evaluator repo; TD-B14
PT04,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,nx project scope tags (tsconfig.base.json @afci-bench/* aliases),experiments/v2/results/<run_id>/oracle_result.json,candidate-not-frozen,Task Designer,public row; expected/optional/prohibited areas withheld; stored in private evaluator repo; TD-B14
PT05,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,nx project scope tags (tsconfig.base.json @afci-bench/* aliases),experiments/v2/results/<run_id>/oracle_result.json,candidate-not-frozen,Task Designer,public row; expected/optional/prohibited areas withheld; stored in private evaluator repo; TD-B14
PT06,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,nx project scope tags (tsconfig.base.json @afci-bench/* aliases),experiments/v2/results/<run_id>/oracle_result.json,candidate-not-frozen,Task Designer,public row; expected/optional/prohibited areas withheld; stored in private evaluator repo; TD-B14
PT07,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,nx project scope tags (tsconfig.base.json @afci-bench/* aliases),experiments/v2/results/<run_id>/oracle_result.json,candidate-not-frozen,Task Designer,"public row; expected/optional/prohibited areas withheld; stored in private evaluator repo; PT07's private package now exists but is status=review and not_yet_frozen; TD-B14"
PR01,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,nx project scope tags (tsconfig.base.json @afci-bench/* aliases),experiments/v2/results/<run_id>/oracle_result.json,candidate-not-frozen,Task Designer,public row; expected/optional/prohibited areas withheld; stored in private evaluator repo; TD-B14
PR02,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,stored_in_private_evaluator_repo,nx project scope tags (tsconfig.base.json @afci-bench/* aliases),experiments/v2/results/<run_id>/oracle_result.json,candidate-not-frozen,Task Designer,public row; expected/optional/prohibited areas withheld; stored in private evaluator repo; TD-B14
