rule_id,title,category,construct,severity,source_context_section,source_repository_evidence,evaluation,oracle_implementation_status,agent_visible_enforcement_status,validation_status,reference_checker,related_todos,notes
AR-DEP-001,Layered module-dependency direction,dependency-direction,CON-AC,blocker,Section 4; Section 5,"tsconfig.base.json paths @afci-bench/*; project.json scope:* tags; .eslintrc.json enforce-module-boundaries depConstraints",automated,implemented,excluded-from-agent-ci-enforced-in-repository-ci,partial,experiments/v2/oracle/src/checkers/dependencyDirection.ts,TD-B04; TD-B12,umbrella rule; synthetic fixtures pass; labelled-corpus/mutation/inter-rater open (G1/G6)
AR-DEP-002,Contracts import nothing internal,dependency-direction,CON-AC,blocker,Section 4,"depConstraints scope:contracts -> []; libs/contracts/src/index.ts imports no internal module",automated,implemented,excluded-from-agent-ci-enforced-in-repository-ci,partial,experiments/v2/oracle/src/checkers/dependencyDirection.ts,TD-B04; TD-B12,per-layer clause of AR-DEP-001
AR-DEP-003,Core depends only on contracts,dependency-direction,CON-AC,blocker,Section 4,"depConstraints scope:core -> [scope:contracts]; libs/core/src/index.ts imports only @afci-bench/contracts",automated,implemented,excluded-from-agent-ci-enforced-in-repository-ci,partial,experiments/v2/oracle/src/checkers/dependencyDirection.ts,TD-B04; TD-B12,v1 guard missed core->infra via alias (total=0)
AR-DEP-004,Infra depends only on contracts and observability,dependency-direction,CON-AC,blocker,Section 4,"depConstraints scope:infra -> [scope:contracts, scope:observability]; libs/infra/src/index.ts redeclares entity types from contracts",automated,implemented,excluded-from-agent-ci-enforced-in-repository-ci,partial,experiments/v2/oracle/src/checkers/dependencyDirection.ts,TD-B04; TD-B12,per-layer clause of AR-DEP-001
AR-DEP-005,Application does not import core directly,dependency-direction,CON-AC,blocker,Section 4; Section 5,"depConstraints scope:api excludes scope:core; apps/api/src/app.ts imports Order/OrderRepository from @afci-bench/features",automated,implemented,excluded-from-agent-ci-enforced-in-repository-ci,partial,experiments/v2/oracle/src/checkers/dependencyDirection.ts,TD-B04; TD-B12,re-export pattern is legitimate and must not be flagged (clean-barrel fixture)
AR-DEP-006,No cross-feature coupling,dependency-direction,CON-AC,major,Section 4,"depConstraints scope:features -> [scope:core, scope:contracts, scope:observability]",automated,implemented,excluded-from-agent-ci-enforced-in-repository-ci,partial,experiments/v2/oracle/src/checkers/dependencyDirection.ts,TD-B04; TD-B12,cross-feature edges appear only under future multi-feature tasks
AR-CONTRACT-001,Externally visible shapes live only in contracts,contract-boundary,CON-ACB,major,Section 6,"libs/contracts/src/index.ts declares Order/Error/Health shapes; features and api import them",hybrid,stub,excluded-from-agent-ci-no-automated-enforcement,not-validated,(none - unimplemented stub),TD-B04; TD-B12,external-vs-internal shape distinction is manual; stub must never PASS; CON-ACB - contract ownership is NOT directly measured by E1 and contributes nothing to its numerator or denominator; kappa >= 0.70 gated; broadening E1 by implementing it is future work (TD-B33)
AR-OBSERV-001,Request and error logging completeness,observability,CON-ACB,major,Section 7,"libs/observability/src/index.ts Logger.logRequest/logError carry the required fields",hybrid,stub,excluded-from-agent-ci-no-automated-enforcement,not-validated,(none - unimplemented stub),TD-B04; TD-B12,field-completeness partly manual; stub must never PASS; CON-ACB - observability completeness is NOT directly measured by E1 and contributes nothing to its numerator or denominator; kappa >= 0.70 gated
AR-CODE-001,Coding and change discipline,coding-discipline,CON-ACB,minor,Section 8,"MAD_v0 section 6 coding rules; small pure functions in libs/core; localized handler logic in apps/api",manual,stub,excluded-from-agent-ci-no-automated-enforcement,not-validated,(none - manual rule),TD-B04; TD-B12,manual rubric; contributes to a confirmatory endpoint only after kappa >= 0.70; CON-ACB - duplicated logic and general business-logic placement are NOT directly measured by E1 and contribute nothing to its numerator or denominator; broadening E1 by implementing it is future work (TD-B33)
AR-CHANGE-FOOTPRINT-001,Change footprint (out-of-scope surface),change-footprint,CON-EC,minor,Section 8,"unified diff vs frozen base SHA restricted to the out-of-scope surface (OT-EC-CHURN)",automated,stub,excluded-from-agent-ci-no-automated-enforcement,not-validated,(none - unimplemented stub),TD-B04; TD-B12,descriptive engineering-cost signal; never a confirmatory endpoint (D8)
